NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM SNAP %,TD
Neal Sterling,WR,NYJ,10,,7,7,9,,,,,,5,,4,7,8,11,11,32,101,9,9.7,0
Alvin Kamara,RB,NO,1,31,17,17,26,,30,37,31,25,29,46,32,37,6,32,37,31,464,29,44.7,5
Darren Fells,TE,DET,,32,41,29,51,35,46,,45,43,27,30,27,31,30,24,28,31,550,34,52.7,3
James Develin,RB,NE,,19,24,15,16,13,25,24,29,,45,21,19,17,11,18,19,31,346,21,30.3,0
Jakeem Grant Sr.,WR,MIA,8,,1,3,5,33,6,8,15,,,,2,2,9,6,11,31,132,8,12.7,2
Latavius Murray,RB,MIN,3,3,6,8,19,22,33,31,31,,30,33,40,30,32,32,40,31,421,26,37.7,0
Nick O'Leary,TE,BUF,,43,20,34,32,59,,54,54,58,19,34,30,,32,27,22,31,549,36,52,2
Bilal Powell,RB,NYJ,,30,18,28,46,17,,21,29,15,33,,23,37,23,24,27,30,401,26,38.6,0
Chris Moore,WR,BAL,2,,,7,,,34,58,17,30,,33,23,32,24,43,44,30,375,28,34.5,3
Duke Johnson,RB,CLE,,50,37,40,36,40,30,36,22,,48,27,38,34,25,43,29,30,565,35,52.9,3
Danny Woodhead,RB,BAL,,6,,,,,,,,,,13,22,20,24,23,19,30,157,19,14.5,0
Fitzgerald Toussaint,RB,PIT,,,,,,,,,,,,,1,,2,1,5,30,39,6,3.5,0
Jeff Janis,WR,GB,,3,1,,1,,1,,,,1,,,1,,,12,30,50,3,4.8,0
Louis Murphy,WR,SF,,,,,,,,,,,27,,33,42,29,33,33,30,227,32,20.6,1
Maxx Williams,TE,BAL,,17,28,,,,9,,,32,,34,28,30,33,36,38,30,315,28,29,1
Nelson Agholor,WR,PHI,2,42,55,45,61,47,48,47,36,40,,47,65,66,77,49,58,30,813,50,71.9,8
Orleans Darkwa,RB,NYG,,8,11,16,,20,27,21,,32,26,30,19,22,19,22,12,30,315,21,29.1,0
Troy Niklas,TE,ARI,,19,30,19,22,19,35,17,,44,15,17,27,25,19,79,,30,417,27,37.1,1
Alex Collins,RB,BAL,,,8,10,17,16,22,16,32,28,,38,31,33,29,30,39,29,378,25,34.8,0
Chris Thompson,WR,HOU,,,,,10,3,,,1,,2,,1,50,,4,,29,100,7,9.1,0
Ed Dickson,TE,CAR,,40,55,59,62,66,82,72,65,64,73,,63,56,33,34,22,29,875,54,81.1,1
Elijah McGuire,RB,NYJ,,,11,12,19,36,25,7,3,20,36,,18,19,1,21,10,29,267,16,25.7,1
Kenny Britt,WR,NE,,52,42,52,46,,,55,,,55,20,18,12,,2,9,29,392,32,34.4,2
LeSean McCoy,RB,BUF,,54,40,43,43,54,,57,50,55,24,42,49,41,50,41,50,29,722,45,68.4,2
Luke Willson,TE,SEA,,17,37,25,22,26,,30,19,24,24,33,5,20,20,19,27,29,377,23,35.3,4
Stevan Ridley,RB,PIT,,,,,,,,,,,,,,,,,10,29,39,19,3.5,0
Albert Wilson,WR,KC,,40,34,27,43,32,,33,,,,,46,42,66,62,69,28,538,41,55.4,3
Trey Burton,TE,PHI,,14,14,19,9,16,13,16,21,47,,13,,21,48,11,10,28,300,20,26.5,5
Isaiah McKenzie,WR,DEN,1,5,30,9,6,,12,,,13,1,,,5,,,15,27,136,12,12.9,0
Mike Williams,WR,LAC,1,,,,,,11,14,22,,27,41,1,,35,30,26,27,234,23,22,0
Willie Snead IV,WR,NO,3,,,,,,21,,4,18,36,14,19,23,22,37,38,27,259,23,24.9,0
Eli Rogers,WR,PIT,,39,37,21,,,13,11,19,,18,26,55,17,52,25,27,26,386,27,34.8,1
J.J. Nelson,WR,ARI,,30,50,52,25,32,12,28,,27,29,29,40,50,40,59,10,26,539,33,48,2
Ryan Switzer,WR,DAL,,2,6,2,8,3,,11,12,6,6,4,2,5,2,4,3,26,102,6,9.6,0
Wayne Gallman,RB,NYG,,,,,31,27,15,22,,17,10,16,22,14,37,36,52,26,325,25,30,1
Cordarrelle Patterson,WR,OAK,2,22,27,26,33,19,17,18,57,6,,25,37,34,27,45,13,25,431,26,42.5,0
Joe Mixon,RB,CIN,1,22,16,34,31,36,,22,35,28,31,35,46,17,,,7,25,385,27,39.8,0
Lee Smith,TE,OAK,,29,26,12,13,12,13,17,19,30,,10,28,26,8,29,44,25,341,21,33.7,0
David Njoku,TE,CLE,1,29,34,30,33,35,26,28,24,,46,21,41,34,34,32,30,24,501,31,46.9,4
Eric Ebron,TE,DET,,51,40,45,31,34,41,,34,35,34,28,29,29,42,27,28,24,552,34,52.9,4
James Hanna,TE,DAL,,21,9,14,30,20,,23,14,10,10,32,7,19,20,12,10,24,275,17,25.7,1
Lance Dunbar,RB,LAR,,,,,,,,,,,10,5,,,,,,24,39,9,3.7,0
Tavon Austin,WR,LAR,,7,9,15,15,16,9,19,,29,11,2,27,11,14,14,6,24,228,14,21.9,0
AJ Derby,TE,MIA,,29,29,29,29,,52,32,,33,14,,,,,,29,23,337,30,32.4,2
Javorius Allen,RB,BAL,,33,42,34,40,47,47,41,31,35,,10,15,13,13,26,15,23,465,29,42.8,2
Logan Paulsen,TE,SF,,3,5,27,1,3,3,11,,,12,,6,8,6,9,30,23,147,10,13.3,0
Laquon Treadwell,WR,MIN,,36,51,31,25,42,44,55,31,,24,16,21,20,32,24,27,23,502,31,44.9,0
