,Player,Tm,Age,G,GS,Att_Rush,Yds (Rush),Y/A,TD (Rush),Tgt,Rec,Yds_Rec,Yds_per_rec,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,Total_Snaps,Avg Snaps,TM SNAP %,PPR_PassAtt,PPR_Rush,PPR_RushAtt,Tot_PPR_Rec,PPR_Tgt,Tgt_gm,PPR_Rec,PPR_Snap,Year,Tgt_Binned,Att_Rush_Binned
546,CHRISTIAN MCCAFFREY,SFO,27.0,16.0,16.0,272.0,1459.0,5.36,14.0,83.0,67.0,564.0,8.42,7.0,3.0,2.0,21.0,0.0,0.0,391.3,812,50,76.2,,229.9,0.8452205882352941,165.4,1.9927710843373492,5.1875,2.4686567164179105,0.4818965517241379,2023,"(80, 90]","(260, 286]"
551,RAHEEM MOSTERT,MIA,31.0,15.0,15.0,209.0,1012.0,4.84,18.0,32.0,25.0,175.0,7.0,3.0,4.0,1.0,21.0,0.0,0.0,267.7,555,37,50.5,,209.2,1.000956937799043,60.5,1.890625,2.1333333333333333,2.42,0.4823423423423423,2023,"(30, 40]","(208, 234]"
557,TRAVIS ETIENNE,JAX,24.0,17.0,17.0,267.0,1008.0,3.78,11.0,73.0,58.0,476.0,8.21,1.0,0.0,0.0,12.0,2.0,0.0,282.4,856,50,73.4,,166.8,0.6247191011235955,111.6,1.5287671232876712,4.294117647058823,1.9241379310344824,0.3299065420560747,2023,"(70, 80]","(260, 286]"
558,KYREN WILLIAMS,LAR,23.0,12.0,11.0,228.0,1144.0,5.02,12.0,48.0,32.0,206.0,6.44,3.0,3.0,2.0,15.0,1.0,0.0,255.0,678,56,75.9,,186.4,0.8175438596491228,70.6,1.4708333333333332,4.0,2.20625,0.3761061946902654,2023,"(40, 50]","(208, 234]"
561,DERRICK HENRY,TEN,29.0,17.0,17.0,280.0,1167.0,4.17,12.0,36.0,28.0,214.0,7.64,0.0,0.0,0.0,12.0,0.0,0.0,246.7,558,32,53.1,2.853333333333333,188.7,0.6739285714285714,49.400000000000006,1.3722222222222225,2.117647058823529,1.7642857142857145,0.4421146953405018,2023,"(30, 40]","(260, 286]"
562,JOE MIXON,CIN,27.0,17.0,17.0,257.0,1034.0,4.02,9.0,64.0,52.0,376.0,7.23,3.0,0.0,0.0,12.0,1.0,0.0,267.0,752,44,69.1,,157.4,0.6124513618677043,107.6,1.68125,3.764705882352941,2.069230769230769,0.3550531914893617,2023,"(60, 70]","(234, 260]"
564,BREECE HALL,NYJ,22.0,17.0,16.0,223.0,994.0,4.46,5.0,95.0,76.0,591.0,7.78,4.0,2.0,0.0,9.0,1.0,0.0,290.5,667,39,60.6,,129.4,0.5802690582959642,159.1,1.674736842105263,5.588235294117647,2.093421052631579,0.4355322338830584,2023,"(90, 100]","(208, 234]"
569,RACHAAD WHITE,TAM,24.0,17.0,17.0,272.0,990.0,3.64,6.0,70.0,64.0,549.0,8.58,3.0,3.0,2.0,9.0,0.0,0.0,267.9,861,50,78.1,,135.0,0.4963235294117647,136.9,1.9557142857142855,4.117647058823529,2.1390625,0.3111498257839721,2023,"(60, 70]","(260, 286]"
577,DAVID MONTGOMERY,DET,26.0,14.0,14.0,219.0,1015.0,4.63,13.0,24.0,16.0,117.0,7.31,0.0,2.0,1.0,13.0,1.0,0.0,207.2,453,32,38.5,,179.5,0.819634703196347,27.700000000000003,1.1541666666666668,1.7142857142857142,1.7312500000000002,0.4573951434878587,2023,"(20, 30]","(208, 234]"
580,JAHMYR GIBBS,DET,21.0,15.0,3.0,182.0,945.0,5.19,10.0,71.0,52.0,316.0,6.08,1.0,2.0,1.0,11.0,0.0,0.0,242.1,596,39,50.6,,154.5,0.8489010989010989,89.6,1.2619718309859154,4.733333333333333,1.723076923076923,0.4062080536912751,2023,"(70, 80]","(156, 182]"
582,JAMES COOK,BUF,24.0,17.0,13.0,237.0,1122.0,4.73,2.0,54.0,44.0,445.0,10.11,4.0,4.0,2.0,6.0,0.0,0.0,232.7,634,37,54.5,,124.2,0.5240506329113924,112.5,2.083333333333333,3.176470588235294,2.5568181818181817,0.3670347003154574,2023,"(50, 60]","(234, 260]"
583,BIJAN ROBINSON,ATL,21.0,17.0,16.0,214.0,976.0,4.56,4.0,86.0,58.0,487.0,8.4,4.0,4.0,3.0,8.0,0.0,0.0,246.3,771,45,68.2,,121.6,0.5682242990654206,130.7,1.519767441860465,5.0588235294117645,2.253448275862069,0.3194552529182879,2023,"(80, 90]","(208, 234]"
588,SAQUON BARKLEY,NYG,26.0,14.0,14.0,247.0,962.0,3.89,6.0,60.0,41.0,280.0,6.83,4.0,2.0,2.0,10.0,1.0,0.0,223.2,717,51,64.9,,132.2,0.5352226720647772,93.0,1.55,4.285714285714286,2.268292682926829,0.3112970711297071,2023,"(50, 60]","(234, 260]"
597,JAMES CONNER,ARI,28.0,13.0,13.0,208.0,1040.0,5.0,7.0,33.0,27.0,165.0,6.11,2.0,0.0,0.0,9.0,0.0,0.0,201.5,533,41,61.8,,146.0,0.7019230769230769,55.5,1.681818181818182,2.5384615384615383,2.055555555555556,0.3780487804878049,2023,"(30, 40]","(182, 208]"
598,GUS EDWARDS,BAL,28.0,17.0,9.0,198.0,810.0,4.09,13.0,13.0,12.0,180.0,15.0,0.0,3.0,2.0,13.0,1.0,0.0,187.0,470,27,41.7,,159.0,0.803030303030303,30.0,2.3076923076923075,0.7647058823529411,2.5,0.3978723404255319,2023,"(10, 20]","(182, 208]"
604,KENNETH WALKER,SEA,23.0,15.0,15.0,219.0,905.0,4.13,8.0,37.0,29.0,259.0,8.93,1.0,1.0,0.0,9.0,0.0,0.0,199.4,502,33,47.8,,138.5,0.632420091324201,60.900000000000006,1.645945945945946,2.466666666666667,2.1,0.397211155378486,2023,"(30, 40]","(208, 234]"
606,ISIAH PACHECO,KAN,24.0,14.0,13.0,205.0,935.0,4.56,7.0,49.0,44.0,244.0,5.55,2.0,1.0,1.0,9.0,0.0,0.0,213.9,568,40,50.3,,135.5,0.6609756097560976,80.4,1.6408163265306124,3.5,1.8272727272727276,0.3765845070422535,2023,"(40, 50]","(182, 208]"
608,TONY POLLARD,DAL,26.0,17.0,17.0,252.0,1005.0,3.99,6.0,67.0,55.0,311.0,5.65,0.0,3.0,1.0,6.0,1.0,0.0,222.6,836,49,70.6,,136.5,0.5416666666666666,86.1,1.2850746268656716,3.941176470588236,1.5654545454545454,0.266267942583732,2023,"(60, 70]","(234, 260]"
609,JEROME FORD,CLE,24.0,17.0,12.0,204.0,813.0,3.99,4.0,63.0,44.0,319.0,7.25,5.0,1.0,1.0,9.0,1.0,0.0,211.2,629,37,50.7,,105.3,0.5161764705882353,105.9,1.680952380952381,3.7058823529411766,2.4068181818181817,0.3357710651828299,2023,"(60, 70]","(182, 208]"
610,NAJEE HARRIS,PIT,25.0,17.0,17.0,255.0,1035.0,4.06,8.0,38.0,29.0,170.0,5.86,0.0,2.0,1.0,8.0,0.0,0.0,195.5,569,33,53.1,,151.5,0.5941176470588235,46.0,1.2105263157894737,2.235294117647059,1.5862068965517242,0.343585237258348,2023,"(30, 40]","(234, 260]"
614,DE'VON ACHANE,MIA,22.0,11.0,4.0,103.0,800.0,7.77,8.0,37.0,27.0,197.0,7.3,3.0,1.0,1.0,11.0,0.0,0.0,190.7,300,27,35.6,,128.0,1.2427184466019416,64.7,1.7486486486486488,3.363636363636364,2.3962962962962964,0.6356666666666666,2023,"(30, 40]","(78, 104]"
616,BRIAN ROBINSON,WAS,24.0,15.0,15.0,178.0,733.0,4.12,5.0,43.0,36.0,368.0,10.22,4.0,4.0,2.0,9.0,1.0,0.0,198.1,496,33,44.8,,103.3,0.5803370786516854,96.8,2.2511627906976748,2.8666666666666667,2.688888888888889,0.3993951612903225,2023,"(40, 50]","(156, 182]"
618,D'ANDRE SWIFT,PHI,24.0,16.0,15.0,229.0,1049.0,4.58,5.0,49.0,39.0,214.0,5.49,1.0,3.0,1.0,6.0,0.0,0.0,199.3,630,39,54.9,,134.9,0.5890829694323144,66.4,1.3551020408163266,3.0625,1.7025641025641027,0.3163492063492064,2023,"(40, 50]","(208, 234]"
632,ALVIN KAMARA,NOR,28.0,13.0,12.0,180.0,694.0,3.86,5.0,86.0,75.0,466.0,6.21,1.0,0.0,0.0,6.0,3.0,0.0,233.0,558,42,58.4,,99.4,0.5522222222222223,127.6,1.483720930232558,6.615384615384615,1.7013333333333334,0.4175627240143369,2023,"(80, 90]","(156, 182]"
637,CHUBA HUBBARD,CAR,24.0,17.0,12.0,238.0,902.0,3.79,5.0,44.0,39.0,233.0,5.97,0.0,1.0,0.0,5.0,0.0,0.0,182.5,679,39,59.0,,120.2,0.5050420168067227,62.3,1.4159090909090908,2.588235294117647,1.597435897435897,0.2687776141384388,2023,"(40, 50]","(234, 260]"
638,JOSH JACOBS,LVR,25.0,13.0,13.0,233.0,805.0,3.45,6.0,54.0,37.0,296.0,8.0,0.0,3.0,1.0,6.0,0.0,0.0,181.1,600,46,57.4,,116.5,0.5,66.6,1.2333333333333332,4.153846153846154,1.7999999999999998,0.3018333333333333,2023,"(50, 60]","(208, 234]"
640,ZACK MOSS,IND,26.0,14.0,8.0,183.0,794.0,4.34,5.0,37.0,27.0,192.0,7.11,2.0,0.0,0.0,7.0,1.0,0.0,169.6,531,37,46.3,,109.4,0.5978142076502733,58.2,1.5729729729729731,2.642857142857143,2.1555555555555554,0.31939736346516,2023,"(30, 40]","(182, 208]"
641,DEVIN SINGLETARY,HOU,26.0,17.0,10.0,216.0,898.0,4.16,4.0,38.0,30.0,193.0,6.43,0.0,1.0,0.0,4.0,0.0,0.0,167.3,629,37,55.5,4.24,113.8,0.5268518518518519,49.3,1.2973684210526315,2.235294117647059,1.643333333333333,0.2659777424483307,2023,"(30, 40]","(208, 234]"
642,JONATHAN TAYLOR,IND,24.0,10.0,7.0,169.0,741.0,4.38,7.0,23.0,19.0,153.0,8.05,1.0,1.0,0.0,8.0,0.0,0.0,156.4,386,38,44.3,,116.1,0.6869822485207101,40.3,1.752173913043478,2.3,2.121052631578947,0.4051813471502591,2023,"(20, 30]","(156, 182]"
