,Player,Tm,Age,G,GS,Att_Rush,Yds (Rush),Y/A,TD (Rush),Tgt,Rec,Yds_Rec,Yds_per_rec,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,Total_Snaps,Avg Snaps,TM SNAP %,PPR_PassAtt,PPR_Rush,PPR_RushAtt,Tot_PPR_Rec,PPR_Tgt,Tgt_gm,PPR_Rec,PPR_Snap,Year
3128,TOMMY SWEENEY,BUF,24.0,6.0,1.0,0.0,0.0,,0.0,13.0,8.0,114.0,14.25,0.0,0.0,0.0,0.0,0.0,0.0,19.4,129,21,12.07,,0.0,,19.4,1.492307692307692,2.1666666666666665,2.425,0.1503875968992248,2019
3132,TROY FUMAGALLI,DEN,24.0,11.0,5.0,0.0,0.0,,0.0,9.0,6.0,38.0,6.33,1.0,0.0,0.0,1.0,0.0,0.0,15.8,156,14,15.35,,0.0,,15.8,1.7555555555555555,0.8181818181818182,2.6333333333333333,0.1012820512820512,2019
3135,DAVID NJOKU,CLE,23.0,4.0,1.0,0.0,0.0,,0.0,10.0,5.0,41.0,8.2,1.0,0.0,0.0,1.0,0.0,0.0,15.1,99,24,9.48,,0.0,,15.1,1.5100000000000002,2.5,3.0200000000000005,0.1525252525252525,2019
3136,MO ALIE-COX,IND,26.0,16.0,2.0,0.0,0.0,,0.0,11.0,8.0,93.0,11.63,0.0,0.0,0.0,0.0,0.0,0.0,17.3,354,22,32.87,,0.0,,17.3,1.5727272727272728,0.6875,2.1625,0.0488700564971751,2019
3141,JP HOLTZ,2TM,26.0,15.0,7.0,0.0,0.0,,0.0,8.0,7.0,91.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,334,22,31.24,,0.0,,16.1,2.0125,0.5333333333333333,2.3000000000000003,0.0482035928143712,2019
3146,TREY BURTON,CHI,28.0,8.0,5.0,0.0,0.0,,0.0,24.0,14.0,84.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,283,35,26.47,,0.0,,22.4,0.9333333333333332,3.0,1.6,0.0791519434628975,2019
3150,LUKE WILLSON,SEA,29.0,8.0,7.0,0.0,0.0,,0.0,10.0,8.0,79.0,9.88,0.0,0.0,0.0,0.0,0.0,0.0,15.9,243,30,21.91,,0.0,,15.9,1.59,1.25,1.9875,0.0654320987654321,2019
3152,BLAKE BELL,KAN,28.0,15.0,7.0,0.0,0.0,,0.0,15.0,8.0,67.0,8.38,0.0,0.0,0.0,0.0,0.0,0.0,14.7,397,26,37.81,,0.0,,14.7,0.98,1.0,1.8375,0.0370277078085642,2019
3155,CETHAN CARTER,CIN,24.0,15.0,0.0,0.0,0.0,,0.0,3.0,2.0,13.0,6.5,1.0,0.0,0.0,1.0,0.0,0.0,9.3,96,6,8.72,,0.0,,9.3,3.1,0.2,4.65,0.096875,2019
3158,DURHAM SMYTHE,MIA,24.0,16.0,14.0,0.0,0.0,,0.0,14.0,7.0,65.0,9.29,0.0,0.0,0.0,0.0,0.0,0.0,13.5,482,30,44.67,,0.0,,13.5,0.9642857142857144,0.875,1.9285714285714288,0.0280082987551867,2019
3162,TYLER CONKLIN,MIN,24.0,15.0,1.0,0.0,0.0,,0.0,10.0,8.0,58.0,7.25,0.0,0.0,0.0,0.0,0.0,0.0,13.8,274,18,26.76,,0.0,,13.8,1.38,0.6666666666666666,1.725,0.0503649635036496,2019
3168,CLIVE WALFORD,MIA,28.0,7.0,3.0,0.0,4.0,,0.0,8.0,4.0,57.0,14.25,0.0,0.0,0.0,0.0,0.0,0.0,10.1,114,16,10.57,,0.4,,9.7,1.2125,1.1428571428571428,2.425,0.0885964912280701,2019
3176,LUKE STOCKER,ATL,31.0,15.0,9.0,0.0,0.0,,0.0,14.0,8.0,53.0,6.63,0.0,1.0,0.0,0.0,0.0,0.0,13.3,436,29,37.33,,0.0,,13.3,0.95,0.9333333333333332,1.6625,0.0305045871559633,2019
3177,TREVON WESCO,NYJ,24.0,16.0,1.0,1.0,2.0,2.0,0.0,3.0,2.0,47.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,6.9,214,13,20.98,,0.2,0.2,6.7,2.2333333333333334,0.1875,3.35,0.0322429906542056,2019
3180,DEON YELDER,KAN,24.0,9.0,1.0,0.0,0.0,,0.0,4.0,3.0,50.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,8.0,47,5,4.48,,0.0,,8.0,2.0,0.4444444444444444,2.6666666666666665,0.1702127659574468,2019
3191,PHARAOH BROWN,CLE,25.0,9.0,6.0,0.0,0.0,,0.0,3.0,2.0,27.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,4.7,174,19,16.67,,0.0,,4.7,1.5666666666666669,0.3333333333333333,2.35,0.0270114942528735,2019
3195,TANNER HUDSON,TAM,25.0,9.0,1.0,0.0,0.0,,0.0,5.0,2.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,103,11,9.05,,0.0,,4.6,0.92,0.5555555555555556,2.3,0.0446601941747572,2019
3198,CODEY MCELROY,TAM,27.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3,3,0.26,,0.0,,4.0,4.0,1.0,4.0,1.3333333333333333,2019
3199,JOHNNY MUNDT,LAR,25.0,13.0,2.0,0.0,0.0,,0.0,7.0,4.0,26.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,6.6,211,16,19.01,,0.0,,6.6,0.9428571428571428,0.5384615384615384,1.65,0.0312796208530805,2019
3201,DREW SAMPLE,CIN,23.0,9.0,2.0,0.0,0.0,,0.0,6.0,5.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,108,12,9.81,,0.0,,8.0,1.3333333333333333,0.6666666666666666,1.6,0.074074074074074,2019
3218,JOSH OLIVER,JAX,22.0,4.0,1.0,0.0,0.0,,0.0,6.0,3.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,117,29,10.72,,0.0,,4.5,0.75,1.5,1.5,0.0384615384615384,2019
3220,ERIC SAUBERT,CHI,25.0,2.0,0.0,0.0,0.0,,0.0,3.0,2.0,21.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,4.1,47,23,4.4,,0.0,,4.1,1.3666666666666665,1.5,2.05,0.0872340425531914,2019
3224,ANTONY AUCLAIR,TAM,26.0,8.0,5.0,0.0,0.0,,0.0,3.0,1.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,172,21,15.11,,0.0,,2.1,0.7000000000000001,0.375,2.1,0.0122093023255813,2019
3227,SEAN CULKIN,LAC,26.0,4.0,2.0,0.0,0.0,,0.0,2.0,1.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,99,24,9.34,,0.0,,2.2,1.1,0.5,2.2,0.0222222222222222,2019
3234,CHRIS HERNDON,NYJ,23.0,1.0,0.0,0.0,0.0,,0.0,2.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,18,18,1.76,,0.0,,1.7000000000000002,0.8500000000000001,2.0,1.7000000000000002,0.0944444444444444,2019
3236,CHARLES JONES,JAX,23.0,4.0,0.0,0.0,0.0,,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,27,6,2.47,,0.0,,1.5,1.5,0.25,1.5,0.0555555555555555,2019
3238,BEN KOYACK,JAX,26.0,11.0,6.0,0.0,0.0,,0.0,3.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,260,23,23.83,,0.0,,1.9,0.6333333333333333,0.2727272727272727,1.9,0.0073076923076923,2019
3239,CHRIS MANHERTZ,CAR,27.0,15.0,6.0,0.0,0.0,,0.0,1.0,1.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,341,22,30.64,,0.0,,2.1,2.1,0.0666666666666666,2.1,0.0061583577712609,2019
3242,ISAAC NAUTA,DET,22.0,6.0,0.0,0.0,0.0,,0.0,3.0,2.0,13.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,3.3,41,6,3.8,,0.0,,3.3,1.1,0.5,1.65,0.0804878048780487,2019
3245,DALTON SCHULTZ,DAL,23.0,16.0,0.0,0.0,0.0,,0.0,2.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,117,7,10.44,,0.0,,1.6,0.8,0.125,1.6,0.0136752136752136,2019
3248,TYRONE SWOOPES,SEA,25.0,5.0,2.0,0.0,0.0,,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,80,16,7.21,,0.0,,1.5,1.5,0.2,1.5,0.01875,2019
3250,JORDAN THOMAS,HOU,23.0,5.0,2.0,0.0,0.0,,0.0,3.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,67,13,6.27,,0.0,,1.8,0.6,0.6,1.8,0.026865671641791,2019
3252,LEVINE TOILOLO,SFO,28.0,13.0,0.0,0.0,0.0,,0.0,2.0,2.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,191,14,17.97,,0.0,,3.0,1.5,0.1538461538461538,1.5,0.0157068062827225,2019
3257,DARRELL DANIELS,ARI,25.0,11.0,0.0,0.0,0.0,,0.0,3.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,47,4,4.48,,0.0,,1.4,0.4666666666666666,0.2727272727272727,1.4,0.0297872340425531,2019
3258,ZACH GENTRY,PIT,23.0,4.0,0.0,0.0,0.0,,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,49,12,4.91,,0.0,,1.4,1.4,0.25,1.4,0.0285714285714285,2019
3261,XAVIER GRIMBLE,PIT,27.0,3.0,1.0,0.0,0.0,,0.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,60,20,6.01,,0.0,,1.3,0.4333333333333333,1.0,1.3,0.0216666666666666,2019
3268,ERIC TOMLINSON,3TM,27.0,8.0,3.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,44,5,4.31,,0.0,,1.1,1.1,0.125,1.1,0.025,2019
3285,TRAVIS KELCE,KAN,29.0,16.0,16.0,0.0,0.0,,0.0,150.0,103.0,1336.0,12.97,10.0,2.0,1.0,10.0,0.0,0.0,294.6,994,62,95.1,,0.0,,296.6,1.9773333333333332,9.375,2.879611650485437,0.2963782696177062,2018
3293,GEORGE KITTLE,SFO,25.0,16.0,16.0,1.0,10.0,10.0,0.0,136.0,88.0,1377.0,15.65,5.0,0.0,0.0,5.0,1.0,0.0,258.7,928,58,85.2,,1.0,1.0,255.7,1.8801470588235296,8.5,2.9056818181818183,0.2787715517241379,2018
3294,ZACH ERTZ,PHI,28.0,16.0,16.0,0.0,0.0,,0.0,156.0,116.0,1163.0,10.03,8.0,1.0,0.0,8.0,0.0,0.0,280.3,1000,62,95.2,,0.0,,280.3,1.796794871794872,9.75,2.416379310344828,0.2803,2018
