,Player,Tm,Age,G,GS,Att_Rush,Yds (Rush),Y/A,TD (Rush),Tgt,Rec,Yds_Rec,Yds_per_rec,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,Total_Snaps,Avg Snaps,TM SNAP %,PPR_PassAtt,PPR_Rush,PPR_RushAtt,Tot_PPR_Rec,PPR_Tgt,Tgt_gm,PPR_Rec,PPR_Snap,Year
3737,ORSON CHARLES,CLE,27.0,13.0,2.0,0.0,0.0,,0.0,5.0,3.0,23.0,7.67,0.0,0.0,0.0,0.0,0.0,0.0,5.3,174,13,20.7,,0.0,,5.300000000000001,1.06,0.3846153846153846,1.7666666666666668,0.0304597701149425,2018
3739,SEAN CULKIN,LAC,25.0,13.0,10.0,0.0,0.0,,0.0,1.0,1.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,192,14,24.3,,0.0,,3.4000000000000004,3.4000000000000004,0.0769230769230769,3.4000000000000004,0.0177083333333333,2018
3752,TYRONE SWOOPES,SEA,24.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,26,26,3.6,,0.0,,3.3000000000000003,3.3000000000000003,1.0,3.3000000000000003,0.1269230769230769,2018
3765,ROSS DWELLEY,SFO,23.0,11.0,0.0,0.0,0.0,,0.0,2.0,2.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,39,3,1.9,,0.0,,3.4000000000000004,1.7000000000000002,0.1818181818181818,1.7000000000000002,0.0871794871794871,2018
3766,MATT FLANAGAN,WAS,23.0,3.0,1.0,0.0,0.0,,0.0,1.0,1.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,33,16,,,0.0,,2.4000000000000004,2.4000000000000004,0.3333333333333333,2.4000000000000004,0.0727272727272727,2018
3775,KHARI LEE,BUF,26.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,46,23,6.4,,0.0,,1.5,1.5,0.5,1.5,0.0326086956521739,2018
3779,JOHNNY MUNDT,LAR,24.0,10.0,0.0,0.0,0.0,,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,40,4,2.8,,0.0,,1.5,1.5,0.1,1.5,0.0375,2018
3781,RICHARD RODGERS,PHI,26.0,7.0,0.0,0.0,0.0,,0.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,42,7,1.1,,0.0,,1.7000000000000002,1.7000000000000002,0.1428571428571428,1.7000000000000002,0.0404761904761904,2018
3782,DION SIMS,CHI,27.0,8.0,4.0,0.0,0.0,,0.0,4.0,2.0,9.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2.9,195,24,26.7,,0.0,,2.9,0.725,0.5,1.45,0.0148717948717948,2018
3783,HAKEEM VALLES,DET,26.0,3.0,0.0,0.0,0.0,,0.0,3.0,2.0,11.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,3.1,29,9,3.9,,0.0,,3.1,1.0333333333333334,1.0,1.55,0.1068965517241379,2018
3818,ROB GRONKOWSKI,NWE,28.0,14.0,14.0,0.0,0.0,,0.0,105.0,69.0,1084.0,15.71,8.0,1.0,0.0,8.0,1.0,0.0,227.4,905,64,79.3,,0.0,,225.4,2.1466666666666665,7.5,3.2666666666666666,0.2512707182320442,2017
3820,TRAVIS KELCE,KAN,28.0,15.0,15.0,2.0,7.0,3.5,0.0,122.0,83.0,1038.0,12.51,8.0,0.0,0.0,8.0,0.0,0.0,233.5,875,58,90.1,-2.0,0.7000000000000001,0.35,234.8,1.9245901639344265,8.133333333333333,2.8289156626506027,0.2668571428571428,2017
3828,ZACH ERTZ,PHI,27.0,14.0,13.0,0.0,0.0,,0.0,110.0,74.0,824.0,11.14,8.0,1.0,1.0,8.0,0.0,0.0,202.4,778,55,68.8,,0.0,,204.4,1.8581818181818184,7.857142857142857,2.7621621621621624,0.2601542416452442,2017
3842,JIMMY GRAHAM,SEA,31.0,16.0,13.0,0.0,0.0,,0.0,96.0,57.0,520.0,9.12,10.0,0.0,0.0,10.0,1.0,0.0,171.0,730,45,68.4,,0.0,,169.0,1.7604166666666667,6.0,2.9649122807017543,0.2342465753424657,2017
3846,EVAN ENGRAM,NYG,23.0,15.0,11.0,1.0,14.0,14.0,0.0,115.0,64.0,722.0,11.28,6.0,0.0,0.0,6.0,0.0,0.0,173.6,777,51,71.7,,1.4,1.4,172.2,1.497391304347826,7.666666666666667,2.690625,0.2234234234234234,2017
3857,KYLE RUDOLPH,MIN,28.0,16.0,16.0,0.0,0.0,,0.0,81.0,57.0,532.0,9.33,8.0,0.0,0.0,8.0,0.0,0.0,158.2,924,57,82.6,,0.0,,158.2,1.9530864197530864,5.0625,2.775438596491228,0.1712121212121212,2017
3858,DELANIE WALKER,TEN,33.0,16.0,11.0,2.0,-2.0,-1.0,1.0,111.0,74.0,807.0,10.91,3.0,2.0,2.0,4.0,0.0,0.0,174.5,744,46,72.7,,5.8,2.9,172.7,1.5558558558558555,6.9375,2.333783783783784,0.2345430107526881,2017
3866,CAMERON BRATE,TAM,26.0,16.0,5.0,0.0,0.0,,0.0,77.0,48.0,591.0,12.31,6.0,1.0,0.0,6.0,0.0,0.0,143.1,586,36,53.6,,0.0,,143.1,1.8584415584415583,4.8125,2.98125,0.24419795221843,2017
3870,JACK DOYLE,IND,27.0,15.0,15.0,0.0,0.0,,0.0,108.0,80.0,690.0,8.63,4.0,2.0,2.0,4.0,0.0,0.0,169.0,909,60,88.3,,0.0,,173.0,1.601851851851852,7.2,2.1625,0.1859185918591859,2017
3879,JASON WITTEN,DAL,35.0,16.0,16.0,0.0,0.0,,0.0,87.0,63.0,560.0,8.89,5.0,1.0,1.0,5.0,0.0,0.0,147.0,1050,65,98.3,,0.0,,149.0,1.7126436781609196,5.4375,2.365079365079365,0.14,2017
3880,TYLER KROFT,CIN,25.0,16.0,16.0,0.0,0.0,,0.0,62.0,42.0,404.0,9.62,7.0,0.0,0.0,7.0,0.0,0.0,124.4,829,51,85.7,,0.0,,124.4,2.0064516129032257,3.875,2.961904761904762,0.1500603136308806,2017
3948,HUNTER HENRY,LAC,23.0,14.0,13.0,0.0,0.0,,0.0,62.0,45.0,579.0,12.87,4.0,0.0,0.0,4.0,0.0,0.0,126.9,598,42,56.2,,0.0,,126.9,2.046774193548387,4.428571428571429,2.8200000000000003,0.2122073578595318,2017
3952,JARED COOK,OAK,30.0,16.0,16.0,0.0,0.0,,0.0,86.0,54.0,688.0,12.74,2.0,1.0,1.0,2.0,0.0,0.0,132.8,796,49,78.6,,0.0,,134.8,1.5674418604651164,5.375,2.4962962962962965,0.1668341708542713,2017
3953,VERNON DAVIS,WAS,33.0,16.0,16.0,0.0,0.0,,0.0,69.0,43.0,648.0,15.07,3.0,2.0,2.0,3.0,0.0,0.0,121.8,803,50,79.0,,0.0,,125.8,1.8231884057971013,4.3125,2.925581395348837,0.1516811955168119,2017
3954,ERIC EBRON,DET,24.0,16.0,9.0,0.0,0.0,,0.0,86.0,53.0,574.0,10.83,4.0,1.0,1.0,4.0,0.0,0.0,132.4,552,34,52.9,,0.0,,134.4,1.5627906976744186,5.375,2.535849056603774,0.2398550724637681,2017
3959,OJ HOWARD,TAM,23.0,14.0,14.0,0.0,0.0,,0.0,39.0,26.0,432.0,16.62,6.0,3.0,2.0,6.0,0.0,0.0,101.2,608,43,55.6,,0.0,,105.2,2.6974358974358976,2.7857142857142856,4.046153846153846,0.1664473684210526,2017
3967,AUSTIN HOOPER,ATL,23.0,16.0,8.0,0.0,0.0,,0.0,65.0,49.0,526.0,10.73,3.0,0.0,0.0,3.0,0.0,0.0,119.6,787,49,76.7,,0.0,,119.6,1.84,4.0625,2.440816326530612,0.1519695044472681,2017
3971,CHARLES CLAY,BUF,28.0,13.0,13.0,0.0,0.0,,0.0,74.0,49.0,558.0,11.39,2.0,1.0,0.0,2.0,0.0,0.0,116.8,577,44,54.7,,0.0,,116.8,1.5783783783783785,5.6923076923076925,2.3836734693877557,0.2024263431542461,2017
3985,GEORGE KITTLE,SFO,24.0,15.0,7.0,0.0,0.0,,0.0,63.0,43.0,515.0,11.98,2.0,0.0,0.0,2.0,0.0,0.0,106.5,593,39,53.7,,0.0,,106.5,1.6904761904761905,4.2,2.476744186046512,0.1795952782462057,2017
3986,MARCEDES LEWIS,JAX,33.0,16.0,16.0,0.0,0.0,,0.0,48.0,24.0,318.0,13.25,5.0,0.0,0.0,5.0,1.0,0.0,87.8,895,55,79.0,,0.0,,85.8,1.7875,3.0,3.575,0.0981005586592178,2017
3988,DAVID NJOKU,CLE,21.0,16.0,5.0,1.0,1.0,1.0,0.0,60.0,32.0,386.0,12.06,4.0,0.0,0.0,4.0,0.0,0.0,94.7,501,31,46.9,,0.1,0.1,94.6,1.5766666666666669,3.75,2.95625,0.1890219560878243,2017
3997,GARRETT CELEK,SFO,29.0,16.0,13.0,0.0,0.0,,0.0,33.0,21.0,336.0,16.0,4.0,0.0,0.0,4.0,0.0,0.0,78.6,562,35,50.9,,0.0,,78.6,2.381818181818182,2.0625,3.7428571428571424,0.1398576512455515,2017
4001,TREY BURTON,PHI,26.0,15.0,1.0,0.0,0.0,,0.0,31.0,23.0,248.0,10.78,5.0,0.0,0.0,5.0,1.0,0.0,79.8,300,20,26.5,,0.0,,77.8,2.509677419354839,2.066666666666667,3.382608695652174,0.266,2017
4002,JULIUS THOMAS,MIA,29.0,14.0,12.0,0.0,0.0,,0.0,62.0,41.0,388.0,9.46,3.0,1.0,0.0,3.0,0.0,0.0,97.8,640,45,61.5,,0.0,,97.8,1.57741935483871,4.428571428571429,2.385365853658537,0.1528125,2017
4004,JESSE JAMES,PIT,23.0,16.0,14.0,0.0,0.0,,0.0,63.0,43.0,372.0,8.65,3.0,0.0,0.0,3.0,0.0,0.0,98.2,907,56,81.9,,0.0,,98.2,1.5587301587301587,3.9375,2.2837209302325583,0.1082690187431091,2017
4011,AUSTIN SEFERIAN-JENKINS,NYJ,25.0,13.0,10.0,0.0,0.0,,0.0,74.0,50.0,357.0,7.14,3.0,1.0,1.0,3.0,0.0,0.0,101.7,655,50,63.1,,0.0,,103.7,1.4013513513513514,5.6923076923076925,2.074,0.1552671755725191,2017
4018,ED DICKSON,CAR,30.0,16.0,12.0,0.0,0.0,,0.0,48.0,30.0,437.0,14.57,1.0,0.0,0.0,1.0,0.0,0.0,79.7,875,54,81.1,,0.0,,79.7,1.6604166666666669,3.0,2.6566666666666667,0.0910857142857142,2017
4020,ANTONIO GATES,LAC,37.0,16.0,4.0,0.0,0.0,,0.0,52.0,30.0,316.0,10.53,3.0,0.0,0.0,3.0,0.0,0.0,79.6,500,31,47.0,,0.0,,79.6,1.5307692307692309,3.25,2.6533333333333333,0.1591999999999999,2017
4033,SETH DEVALVE,CLE,24.0,16.0,4.0,0.0,0.0,,0.0,58.0,33.0,395.0,11.97,1.0,1.0,1.0,1.0,0.0,0.0,76.5,531,33,49.7,,0.0,,78.5,1.353448275862069,3.625,2.378787878787879,0.1440677966101695,2017
4034,JERMAINE GRESHAM,ARI,29.0,14.0,14.0,0.0,0.0,,0.0,46.0,33.0,322.0,9.76,2.0,0.0,0.0,2.0,0.0,0.0,77.2,750,53,66.7,,0.0,,77.2,1.6782608695652177,3.2857142857142856,2.33939393939394,0.1029333333333333,2017
4038,COBY FLEENER,NOR,29.0,11.0,1.0,0.0,0.0,,0.0,30.0,22.0,295.0,13.41,2.0,0.0,0.0,2.0,0.0,0.0,63.5,269,24,25.9,,0.0,,63.5,2.1166666666666667,2.727272727272727,2.886363636363636,0.2360594795539033,2017
4043,STEPHEN ANDERSON,HOU,24.0,15.0,5.0,0.0,0.0,,0.0,52.0,25.0,342.0,13.68,1.0,0.0,0.0,1.0,0.0,0.0,65.2,441,29,40.0,,0.0,,65.2,1.2538461538461538,3.466666666666667,2.608,0.1478458049886621,2017
4051,LUKE WILLSON,SEA,27.0,16.0,7.0,0.0,0.0,,0.0,22.0,15.0,153.0,10.2,4.0,0.0,0.0,4.0,0.0,0.0,54.3,377,23,35.3,,0.0,,54.3,2.4681818181818183,1.375,3.62,0.1440318302387268,2017
4056,RICKY SEALS-JONES,ARI,22.0,10.0,1.0,0.0,0.0,,0.0,28.0,12.0,201.0,16.75,3.0,0.0,0.0,3.0,0.0,0.0,50.1,132,14,11.7,,0.0,,50.1,1.7892857142857144,2.8,4.175,0.3795454545454546,2017
4061,RHETT ELLISON,NYG,29.0,16.0,14.0,0.0,0.0,,0.0,32.0,24.0,235.0,9.79,2.0,0.0,0.0,2.0,0.0,0.0,59.5,538,33,49.6,,0.0,,59.5,1.859375,2.0,2.4791666666666665,0.1105947955390334,2017
4062,GERALD EVERETT,LAR,23.0,16.0,2.0,1.0,13.0,13.0,0.0,32.0,16.0,244.0,15.25,2.0,1.0,1.0,2.0,0.0,0.0,51.7,299,18,28.7,,1.3,1.3,52.400000000000006,1.6375000000000002,2.0,3.2750000000000004,0.1729096989966555,2017
4063,DARREN FELLS,DET,31.0,16.0,13.0,0.0,0.0,,0.0,26.0,17.0,177.0,10.41,3.0,0.0,0.0,3.0,0.0,0.0,52.7,550,34,52.7,,0.0,,52.7,2.026923076923077,1.625,3.1,0.0958181818181818,2017
4064,TYLER HIGBEE,LAR,24.0,16.0,16.0,0.0,0.0,,0.0,45.0,25.0,295.0,11.8,1.0,0.0,0.0,1.0,0.0,0.0,60.5,735,45,70.6,,0.0,,60.5,1.3444444444444446,2.8125,2.42,0.082312925170068,2017
4067,ZACH MILLER,CHI,33.0,8.0,6.0,0.0,0.0,,0.0,35.0,20.0,236.0,11.8,2.0,0.0,0.0,2.0,0.0,0.0,55.6,314,39,31.7,,0.0,,55.6,1.5885714285714283,4.375,2.78,0.1770700636942675,2017
4071,AJ DERBY,2TM,26.0,11.0,1.0,0.0,0.0,,0.0,40.0,21.0,244.0,11.62,2.0,1.0,1.0,2.0,0.0,0.0,55.4,337,30,32.4,,0.0,,57.400000000000006,1.435,3.636363636363636,2.7333333333333334,0.1643916913946587,2017
4078,JORDAN REED,WAS,27.0,6.0,5.0,0.0,0.0,,0.0,35.0,27.0,211.0,7.81,2.0,1.0,0.0,2.0,0.0,0.0,60.1,233,38,22.9,,0.0,,60.1,1.717142857142857,5.833333333333333,2.225925925925926,0.2579399141630901,2017
4088,MARTELLUS BENNETT,2TM,30.0,9.0,7.0,0.0,0.0,,0.0,44.0,30.0,286.0,9.53,0.0,0.0,0.0,0.0,0.0,0.0,58.6,411,45,36.0,,0.0,,58.6,1.3318181818181818,4.888888888888889,1.9533333333333331,0.1425790754257907,2017
4090,DEMETRIUS HARRIS,KAN,26.0,16.0,7.0,0.0,0.0,,0.0,35.0,18.0,224.0,12.44,1.0,0.0,0.0,1.0,0.0,0.0,46.4,487,30,50.2,,0.0,,46.400000000000006,1.3257142857142858,2.1875,2.577777777777778,0.0952772073921971,2017
4093,JONNU SMITH,TEN,22.0,16.0,13.0,0.0,0.0,,0.0,30.0,18.0,157.0,8.72,2.0,0.0,0.0,2.0,0.0,0.0,45.7,556,34,54.3,,0.0,,45.7,1.5233333333333334,1.875,2.538888888888889,0.0821942446043165,2017
4098,JEFF HEUERMAN,DEN,25.0,14.0,6.0,0.0,0.0,,0.0,21.0,9.0,142.0,15.78,2.0,0.0,0.0,2.0,0.0,0.0,35.2,321,22,30.5,,0.0,,35.2,1.6761904761904762,1.5,3.911111111111112,0.1096573208722741,2017
4099,LANCE KENDRICKS,GNB,29.0,16.0,9.0,0.0,0.0,,0.0,35.0,18.0,203.0,11.28,1.0,0.0,0.0,1.0,0.0,0.0,44.3,468,29,44.7,,0.0,,44.3,1.2657142857142856,2.1875,2.461111111111111,0.0946581196581196,2017
4102,VIRGIL GREEN,DEN,29.0,16.0,16.0,0.0,0.0,,0.0,22.0,14.0,191.0,13.64,1.0,0.0,0.0,1.0,0.0,0.0,39.1,534,33,50.8,,0.0,,39.1,1.7772727272727271,1.375,2.792857142857143,0.0732209737827715,2017
4103,VANCE MCDONALD,PIT,27.0,10.0,7.0,0.0,0.0,,0.0,24.0,14.0,188.0,13.43,1.0,0.0,0.0,1.0,0.0,0.0,38.8,270,27,24.4,,0.0,,38.8,1.6166666666666665,2.4,2.771428571428572,0.1437037037037037,2017
4104,GREG OLSEN,CAR,32.0,7.0,7.0,0.0,0.0,,0.0,38.0,17.0,191.0,11.24,1.0,0.0,0.0,1.0,0.0,0.0,42.1,367,52,34.0,,0.0,,42.1,1.1078947368421053,5.428571428571429,2.476470588235294,0.1147138964577656,2017
4107,RYAN GRIFFIN,HOU,27.0,7.0,6.0,0.0,0.0,,0.0,26.0,13.0,158.0,12.15,1.0,0.0,0.0,1.0,1.0,0.0,36.8,349,49,31.7,,0.0,,34.8,1.3384615384615384,3.7142857142857135,2.6769230769230767,0.1054441260744985,2017
4109,DION SIMS,CHI,26.0,14.0,14.0,0.0,0.0,,0.0,29.0,15.0,180.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,39.0,581,41,58.7,,0.0,,39.0,1.3448275862068966,2.071428571428572,2.6,0.0671256454388984,2017
4110,LEVINE TOILOLO,ATL,26.0,15.0,12.0,0.0,0.0,,0.0,14.0,12.0,122.0,10.17,1.0,0.0,0.0,2.0,0.0,0.0,36.2,425,28,41.4,,0.0,,30.200000000000003,2.157142857142857,0.9333333333333332,2.516666666666667,0.0851764705882353,2017
4114,NICK BOYLE,BAL,24.0,15.0,11.0,0.0,0.0,,0.0,37.0,28.0,203.0,7.25,0.0,0.0,0.0,0.0,1.0,0.0,50.3,696,46,64.1,,0.0,,48.3,1.3054054054054054,2.466666666666667,1.725,0.0722701149425287,2017
4118,RICHARD RODGERS,GNB,25.0,15.0,1.0,0.0,0.0,,0.0,19.0,12.0,160.0,13.33,1.0,0.0,0.0,1.0,0.0,0.0,34.0,306,20,29.2,,0.0,,34.0,1.7894736842105263,1.2666666666666666,2.833333333333333,0.1111111111111111,2017
4119,JAMES O'SHAUGHNESSY,JAX,25.0,16.0,1.0,0.0,0.0,,0.0,24.0,14.0,149.0,10.64,1.0,0.0,0.0,1.0,0.0,0.0,34.9,239,14,21.1,,0.0,,34.9,1.4541666666666666,1.5,2.492857142857143,0.1460251046025104,2017
4123,BRENT CELEK,PHI,32.0,16.0,10.0,0.0,0.0,,0.0,24.0,13.0,130.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,32.0,462,28,40.8,,0.0,,32.0,1.3333333333333333,1.5,2.4615384615384617,0.0692640692640692,2017
4125,TROY NIKLAS,ARI,25.0,15.0,11.0,0.0,0.0,,0.0,23.0,11.0,132.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,30.2,417,27,37.1,,0.0,,30.200000000000003,1.3130434782608698,1.5333333333333334,2.7454545454545456,0.0724220623501199,2017
4130,ERIC TOMLINSON,NYJ,25.0,14.0,12.0,0.0,0.0,,0.0,11.0,8.0,121.0,15.13,1.0,0.0,0.0,1.0,0.0,0.0,26.1,411,29,39.6,,0.0,,26.1,2.372727272727273,0.7857142857142857,3.2625,0.0635036496350365,2017
4131,NICK VANNETT,SEA,24.0,15.0,4.0,0.0,0.0,,0.0,15.0,12.0,124.0,10.33,1.0,0.0,0.0,1.0,0.0,0.0,30.4,278,18,26.0,,0.0,,30.4,2.0266666666666664,1.0,2.533333333333333,0.1093525179856115,2017
4133,ANTHONY FASANO,MIA,33.0,16.0,7.0,0.0,0.0,,0.0,16.0,12.0,107.0,8.92,1.0,1.0,0.0,1.0,0.0,0.0,28.7,519,32,49.9,,0.0,,28.700000000000003,1.7937500000000002,1.0,2.391666666666667,0.0552986512524084,2017
4139,DAVID MORGAN,MIN,24.0,15.0,6.0,0.0,0.0,,0.0,12.0,10.0,95.0,9.5,1.0,0.0,0.0,1.0,0.0,0.0,25.5,395,26,35.3,,0.0,,25.5,2.125,0.8,2.55,0.0645569620253164,2017
4141,DWAYNE ALLEN,NWE,27.0,16.0,8.0,0.0,0.0,,0.0,22.0,10.0,86.0,8.6,1.0,0.0,0.0,1.0,0.0,0.0,24.6,477,29,41.8,,0.0,,24.6,1.1181818181818182,1.375,2.46,0.0515723270440251,2017
4144,JAMES HANNA,DAL,28.0,16.0,8.0,0.0,0.0,,0.0,9.0,4.0,88.0,22.0,1.0,0.0,0.0,1.0,0.0,0.0,18.8,275,17,25.7,,0.0,,18.8,2.088888888888889,0.5625,4.7,0.0683636363636363,2017
4147,CJ UZOMAH,CIN,24.0,14.0,4.0,0.0,0.0,,0.0,15.0,10.0,92.0,9.2,1.0,0.0,0.0,1.0,0.0,0.0,25.2,213,15,22.0,,0.0,,25.200000000000003,1.6800000000000002,1.0714285714285714,2.5200000000000005,0.1183098591549295,2017
4150,JOSH HILL,NOR,27.0,16.0,11.0,1.0,-8.0,-8.0,0.0,22.0,16.0,125.0,7.81,1.0,2.0,2.0,1.0,0.0,0.0,29.7,588,36,56.6,,-0.8,-0.8,34.5,1.568181818181818,1.375,2.15625,0.0505102040816326,2017
4160,CJ FIEDOROWICZ,HOU,26.0,5.0,5.0,0.0,0.0,,0.0,22.0,14.0,127.0,9.07,0.0,0.0,0.0,0.0,0.0,0.0,26.7,230,46,20.9,,0.0,,26.700000000000003,1.2136363636363638,4.4,1.9071428571428573,0.1160869565217391,2017
4164,LOGAN THOMAS,BUF,26.0,12.0,2.0,0.0,0.0,,0.0,9.0,7.0,67.0,9.57,1.0,0.0,0.0,1.0,0.0,0.0,19.7,155,12,14.7,,0.0,,19.7,2.1888888888888887,0.75,2.814285714285714,0.1270967741935484,2017
4166,MAXX WILLIAMS,BAL,23.0,11.0,8.0,2.0,6.0,3.0,0.0,18.0,15.0,86.0,5.73,1.0,1.0,1.0,1.0,0.0,0.0,28.2,315,28,29.0,,0.6000000000000001,0.3,29.6,1.6444444444444446,1.6363636363636365,1.9733333333333332,0.0895238095238095,2017
4174,MICHAEL HOOMANAWANUI,NOR,29.0,14.0,10.0,0.0,0.0,,0.0,10.0,6.0,52.0,8.67,1.0,0.0,0.0,1.0,0.0,0.0,17.2,419,29,40.3,,0.0,,17.2,1.72,0.7142857142857143,2.8666666666666667,0.0410501193317422,2017
4183,NILES PAUL,WAS,28.0,14.0,8.0,2.0,4.0,2.0,0.0,19.0,13.0,94.0,7.23,0.0,0.0,0.0,0.0,0.0,0.0,22.8,301,21,29.6,,0.4,0.2,22.4,1.1789473684210523,1.3571428571428572,1.723076923076923,0.0757475083056478,2017
4188,PHILLIP SUPERNAW,TEN,27.0,16.0,3.0,0.0,0.0,,0.0,6.0,4.0,39.0,9.75,1.0,0.0,0.0,1.0,0.0,0.0,13.9,206,12,20.1,,0.0,,13.9,2.316666666666667,0.375,3.475,0.0674757281553398,2017
4189,AUSTIN TRAYLOR,DEN,24.0,7.0,3.0,0.0,0.0,,0.0,13.0,8.0,100.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,18.0,265,37,25.2,,0.0,,18.0,1.3846153846153846,1.8571428571428568,2.25,0.0679245283018867,2017
4191,JERELL ADAMS,NYG,25.0,16.0,1.0,0.0,0.0,,0.0,11.0,8.0,92.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,17.2,174,10,16.1,,0.0,,17.200000000000003,1.563636363636364,0.6875,2.1500000000000004,0.0988505747126436,2017
4192,XAVIER GRIMBLE,PIT,25.0,15.0,2.0,0.0,0.0,,0.0,9.0,5.0,32.0,6.4,1.0,0.0,0.0,1.0,0.0,0.0,14.2,171,11,15.4,,0.0,,14.2,1.5777777777777775,0.6,2.84,0.0830409356725146,2017
4195,LUKE STOCKER,2TM,29.0,12.0,6.0,0.0,0.0,,0.0,5.0,4.0,30.0,7.5,1.0,0.0,0.0,1.0,0.0,0.0,13.0,175,14,17.1,,0.0,,13.0,2.6,0.4166666666666667,3.25,0.0742857142857142,2017
4205,LEE SMITH,OAK,30.0,16.0,9.0,0.0,0.0,,0.0,11.0,8.0,76.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,15.6,341,21,33.7,,0.0,,15.6,1.4181818181818182,0.6875,1.95,0.0457478005865102,2017
4210,CLIVE WALFORD,OAK,26.0,13.0,0.0,0.0,0.0,,0.0,13.0,9.0,80.0,8.89,0.0,0.0,0.0,0.0,0.0,0.0,17.0,130,10,12.8,,0.0,,17.0,1.3076923076923077,1.0,1.8888888888888888,0.1307692307692307,2017
4213,DEREK CARRIER,LAR,27.0,14.0,3.0,0.0,0.0,,0.0,11.0,8.0,71.0,8.88,0.0,0.0,0.0,0.0,0.0,0.0,15.1,188,13,18.1,,0.0,,15.1,1.3727272727272728,0.7857142857142857,1.8875,0.0803191489361702,2017
4222,TANNER MCEVOY,SEA,24.0,15.0,0.0,0.0,0.0,,0.0,9.0,5.0,113.0,22.6,0.0,1.0,1.0,0.0,0.0,0.0,12.3,215,14,20.1,-2.0,0.0,,16.3,1.8111111111111111,0.6,3.26,0.0572093023255814,2017
4224,JEREMY SPRINKLE,WAS,23.0,11.0,5.0,0.0,0.0,,0.0,3.0,2.0,13.0,6.5,1.0,0.0,0.0,1.0,0.0,0.0,9.3,126,11,12.4,,0.0,,9.3,3.1,0.2727272727272727,4.65,0.0738095238095238,2017
4227,BEN KOYACK,JAX,24.0,16.0,3.0,0.0,0.0,,0.0,7.0,5.0,38.0,7.6,0.0,0.0,0.0,0.0,1.0,0.0,10.8,418,26,36.9,,0.0,,8.8,1.2571428571428571,0.4375,1.7600000000000002,0.0258373205741626,2017
4231,ORSON CHARLES,KAN,26.0,5.0,0.0,0.0,0.0,,0.0,2.0,2.0,53.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,7.3,63,12,6.5,,0.0,,7.300000000000001,3.65,0.4,3.65,0.1158730158730158,2017
4232,TYLER EIFERT,CIN,27.0,2.0,1.0,0.0,0.0,,0.0,5.0,4.0,46.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,8.6,104,52,10.8,,0.0,,8.600000000000001,1.7200000000000002,2.5,2.1500000000000004,0.0826923076923076,2017
4234,JACOB HOLLISTER,NWE,24.0,15.0,1.0,1.0,5.0,5.0,0.0,11.0,4.0,42.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,8.7,87,5,7.6,,0.5,0.5,8.2,0.7454545454545454,0.7333333333333333,2.05,0.0999999999999999,2017
4237,SEAN MCGRATH,LAC,30.0,15.0,6.0,0.0,0.0,,0.0,4.0,4.0,46.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,8.6,219,14,20.6,,0.0,,8.600000000000001,2.1500000000000004,0.2666666666666666,2.1500000000000004,0.039269406392694,2017
4240,MICHAEL ROBERTS,DET,23.0,15.0,3.0,0.0,0.0,,0.0,7.0,4.0,46.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,8.6,221,14,21.2,,0.0,,8.600000000000001,1.2285714285714289,0.4666666666666667,2.1500000000000004,0.0389140271493212,2017
4244,BLAKE BELL,MIN,26.0,13.0,3.0,0.0,0.0,,0.0,4.0,3.0,19.0,6.33,0.0,0.0,0.0,0.0,1.0,0.0,6.9,145,11,13.0,,0.0,,4.9,1.225,0.3076923076923077,1.6333333333333335,0.0475862068965517,2017
4247,JAMES DEVELIN,NWE,29.0,16.0,7.0,0.0,0.0,,0.0,10.0,6.0,38.0,6.33,0.0,0.0,0.0,0.0,0.0,0.0,9.8,346,21,30.3,,0.0,,9.8,0.98,0.625,1.6333333333333335,0.0283236994219653,2017
4250,RANDALL TELFER,CLE,25.0,16.0,14.0,0.0,0.0,,0.0,4.0,3.0,36.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,300,18,28.1,,0.0,,6.6,1.65,0.25,2.2,0.022,2017
