Player,Tm,FantPos,Age,G,GS,Cmp,Att (Pass),Yds (Pass),TD (Pass),Int,Att (Rush),Yds (Rush),Y/A (Rush),TD (Rush),Tgt (Rec),Receptions,Yds (Rec),Y/R,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,PosRank
Roschon Johnson,CHI,RB,23,14,0,0.0,0.0,0.0,0.0,0.0,55.0,150.0,2.73,6.0,20.0,16.0,104.0,6.5,0.0,0.0,0.0,6,0.0,0.0,77.4,52
Sean Tucker,TAM,RB,23,17,0,0.0,0.0,0.0,0.0,0.0,50.0,308.0,6.16,2.0,12.0,9.0,109.0,12.11,1.0,1.0,0.0,3,0.0,0.0,68.7,54
Zack Moss,CIN,RB,27,8,6,0.0,0.0,0.0,0.0,0.0,74.0,242.0,3.27,2.0,27.0,23.0,187.0,8.13,1.0,2.0,1.0,3,0.0,0.0,81.9,55
Nick Chubb,CLE,RB,29,8,8,0.0,0.0,0.0,0.0,0.0,102.0,332.0,3.25,3.0,11.0,5.0,31.0,6.2,1.0,1.0,1.0,4,0.0,0.0,63.3,56
Jeremy McNichols,WAS,RB,29,17,1,0.0,0.0,0.0,0.0,0.0,55.0,261.0,4.75,4.0,12.0,9.0,27.0,3.0,0.0,0.0,0.0,4,1.0,0.0,63.8,57
Samaje Perine,KAN,RB,29,17,0,0.0,0.0,0.0,0.0,0.0,20.0,92.0,4.6,1.0,35.0,28.0,322.0,11.5,1.0,0.0,0.0,2,0.0,0.0,81.4,58
Miles Sanders,CAR,RB,27,11,2,0.0,0.0,0.0,0.0,0.0,55.0,205.0,3.73,2.0,30.0,24.0,148.0,6.17,1.0,1.0,0.0,3,0.0,0.0,77.3,59
Raheem Mostert,MIA,RB,32,13,1,0.0,0.0,0.0,0.0,0.0,85.0,278.0,3.27,2.0,23.0,19.0,161.0,8.47,0.0,2.0,2.0,2,0.0,0.0,70.9,60
Kenneth Gainwell,PHI,RB,25,17,1,0.0,0.0,0.0,0.0,0.0,75.0,290.0,3.87,1.0,22.0,16.0,116.0,7.25,0.0,0.0,0.0,1,0.0,0.0,62.6,61
Ezekiel Elliott,DAL,RB,29,15,2,0.0,0.0,0.0,0.0,0.0,74.0,226.0,3.05,3.0,15.0,12.0,69.0,5.75,0.0,1.0,1.0,3,0.0,0.0,57.5,62
Isiah Pacheco,KAN,RB,25,7,6,0.0,0.0,0.0,0.0,0.0,83.0,310.0,3.73,1.0,16.0,12.0,79.0,6.58,0.0,0.0,0.0,1,0.0,0.0,56.9,63
Audric Estime,DEN,RB,21,13,1,0.0,0.0,0.0,0.0,0.0,76.0,310.0,4.08,2.0,5.0,5.0,27.0,5.4,0.0,2.0,1.0,2,0.0,0.0,48.7,64
Dameon Pierce,HOU,RB,24,11,0,0.0,0.0,0.0,0.0,0.0,40.0,293.0,7.33,2.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,2,0.0,0.0,43.5,65
Trey Benson,ARI,RB,21,13,1,0.0,0.0,0.0,0.0,0.0,63.0,291.0,4.62,1.0,6.0,6.0,59.0,9.83,0.0,1.0,0.0,1,0.0,0.0,47.0,66
Emari Demercado,ARI,RB,25,13,0,0.0,0.0,0.0,0.0,0.0,24.0,223.0,9.29,1.0,20.0,16.0,104.0,6.5,0.0,0.0,0.0,1,0.0,0.0,54.7,67
Trey Sermon,IND,RB,25,17,3,0.0,0.0,0.0,0.0,0.0,56.0,159.0,2.84,2.0,19.0,16.0,99.0,6.19,0.0,0.0,0.0,2,0.0,0.0,53.8,69
Isaiah Davis,NYJ,RB,22,17,0,0.0,0.0,0.0,0.0,0.0,30.0,174.0,5.8,1.0,12.0,9.0,75.0,8.33,1.0,0.0,0.0,2,0.0,0.0,45.9,71
Dare Ogunbowale,HOU,RB,30,17,1,0.0,0.0,0.0,0.0,0.0,30.0,112.0,3.73,0.0,28.0,19.0,198.0,10.42,1.0,0.0,0.0,1,0.0,0.0,56.0,70
Tyler Goodson,IND,RB,24,16,0,0.0,0.0,0.0,0.0,0.0,32.0,153.0,4.78,1.0,15.0,11.0,61.0,5.55,1.0,0.0,0.0,2,0.0,0.0,44.4,72
Christian McCaffrey,SFO,RB,28,4,4,0.0,0.0,0.0,0.0,0.0,50.0,202.0,4.04,0.0,19.0,15.0,146.0,9.73,0.0,1.0,1.0,0,0.0,0.0,47.8,73
Chris Brooks,GNB,RB,24,15,0,0.0,0.0,0.0,0.0,0.0,36.0,183.0,5.08,1.0,13.0,11.0,69.0,6.27,0.0,0.0,0.0,1,0.0,0.0,42.2,74
Chris Rodriguez,WAS,RB,24,9,0,0.0,0.0,0.0,0.0,0.0,35.0,173.0,4.94,2.0,1.0,1.0,12.0,12.0,0.0,0.0,0.0,2,0.0,0.0,31.5,75
Hassan Haskins,LAC,RB,25,17,0,0.0,0.0,0.0,0.0,0.0,34.0,89.0,2.62,2.0,3.0,3.0,49.0,16.33,1.0,1.0,1.0,3,0.0,0.0,32.8,76
Kimani Vidal,LAC,RB,23,10,0,0.0,0.0,0.0,0.0,0.0,43.0,155.0,3.6,0.0,9.0,5.0,62.0,12.4,1.0,1.0,0.0,1,0.0,0.0,32.7,78
Jamaal Williams,NOR,RB,29,14,1,0.0,0.0,0.0,0.0,0.0,48.0,164.0,3.42,1.0,11.0,9.0,57.0,6.33,0.0,0.0,0.0,1,0.0,0.0,37.1,77
Blake Corum,LAR,RB,24,17,1,0.0,0.0,0.0,0.0,0.0,58.0,207.0,3.57,0.0,8.0,7.0,58.0,8.29,0.0,0.0,0.0,0,0.0,0.0,33.5,81
D'Onta Foreman,CLE,RB,28,11,3,0.0,0.0,0.0,0.0,0.0,71.0,232.0,3.27,0.0,8.0,6.0,54.0,9.0,0.0,2.0,1.0,0,0.0,0.0,32.6,80
Patrick Taylor,SFO,RB,26,13,1,0.0,0.0,0.0,0.0,0.0,39.0,183.0,4.69,1.0,11.0,3.0,25.0,8.33,0.0,0.0,0.0,1,0.0,0.0,29.8,79
Cordarrelle Patterson,PIT,RB,33,13,1,0.0,0.0,0.0,0.0,0.0,32.0,135.0,4.22,0.0,14.0,12.0,80.0,6.67,1.0,1.0,1.0,1,0.0,0.0,37.5,82
Michael Carter,ARI,RB,25,3,1,0.0,0.0,0.0,0.0,0.0,35.0,131.0,3.74,1.0,11.0,11.0,57.0,5.18,0.0,0.0,0.0,1,0.0,0.0,35.8,83
D'Ernest Johnson,JAX,RB,28,14,1,0.0,0.0,0.0,0.0,0.0,32.0,143.0,4.47,0.0,19.0,12.0,96.0,8.0,0.0,0.0,0.0,0,0.0,0.0,35.9,85
Kendre Miller,NOR,RB,22,6,2,0.0,0.0,0.0,0.0,0.0,39.0,148.0,3.79,1.0,8.0,5.0,33.0,6.6,0.0,0.0,0.0,1,0.0,0.0,29.1,84
Jaylen Wright,MIA,RB,21,15,1,0.0,0.0,0.0,0.0,0.0,68.0,249.0,3.66,0.0,6.0,3.0,8.0,2.67,0.0,1.0,1.0,0,0.0,0.0,26.7,86
Zamir White,LVR,RB,25,8,5,0.0,0.0,0.0,0.0,0.0,65.0,183.0,2.82,1.0,8.0,6.0,30.0,5.0,0.0,2.0,2.0,1,0.0,0.0,29.3,87
Ty Chandler,MIN,RB,26,17,0,0.0,0.0,0.0,0.0,0.0,56.0,182.0,3.25,0.0,6.0,6.0,42.0,7.0,0.0,0.0,0.0,0,0.0,0.0,28.4,88
Khalil Herbert,2TM,RB,26,14,1,0.0,0.0,0.0,0.0,0.0,36.0,130.0,3.61,1.0,11.0,10.0,25.0,2.5,0.0,1.0,0.0,1,0.0,0.0,31.5,89
Sincere McCormick,LVR,RB,24,5,2,0.0,0.0,0.0,0.0,0.0,39.0,183.0,4.69,0.0,7.0,6.0,29.0,4.83,0.0,0.0,0.0,0,0.0,0.0,27.2,90
Pierre Strong,CLE,RB,26,14,0,0.0,0.0,0.0,0.0,0.0,26.0,108.0,4.15,0.0,22.0,14.0,104.0,7.43,0.0,0.0,0.0,0,0.0,0.0,35.2,91
Jamycal Hasty,NWE,RB,28,15,0,0.0,0.0,0.0,0.0,0.0,20.0,69.0,3.45,0.0,12.0,10.0,59.0,5.9,1.0,0.0,0.0,1,0.0,0.0,28.8,94
Kenny McIntosh,SEA,RB,24,17,0,0.0,0.0,0.0,0.0,0.0,31.0,172.0,5.55,0.0,4.0,3.0,22.0,7.33,0.0,0.0,0.0,0,0.0,0.0,22.4,92
DeeJay Dallas,ARI,RB,26,17,0,0.0,0.0,0.0,0.0,0.0,9.0,49.0,5.44,0.0,3.0,3.0,11.0,3.67,1.0,1.0,0.0,2,0.0,0.0,21.0,95
Craig Reynolds,DET,RB,28,17,0,0.0,0.0,0.0,0.0,0.0,31.0,139.0,4.48,0.0,5.0,3.0,40.0,13.33,0.0,1.0,0.0,0,0.0,0.0,20.9,96
Carson Steele,KAN,RB,22,17,3,0.0,0.0,0.0,0.0,0.0,56.0,183.0,3.27,0.0,11.0,7.0,26.0,3.71,0.0,3.0,2.0,0,0.0,0.0,23.9,97
Hunter Luepke,DAL,RB,24,16,4,0.0,0.0,0.0,0.0,0.0,12.0,38.0,3.17,0.0,16.0,12.0,111.0,9.25,0.0,0.0,0.0,0,0.0,0.0,26.9,99
Jordan Mims,NOR,RB,25,11,0,0.0,0.0,0.0,0.0,0.0,20.0,70.0,3.5,0.0,18.0,12.0,71.0,5.92,0.0,0.0,0.0,0,0.0,0.0,26.1,101
Ronnie Rivers,LAR,RB,25,17,0,0.0,0.0,0.0,0.0,0.0,22.0,99.0,4.5,0.0,6.0,5.0,34.0,6.8,0.0,0.0,0.0,0,0.0,0.0,18.3,102
Tony Jones,ARI,RB,27,1,0,0.0,0.0,0.0,0.0,0.0,4.0,55.0,13.75,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,0.0,0.0,11.5,104
Will Shipley,PHI,RB,22,16,1,0.0,0.0,0.0,0.0,0.0,30.0,82.0,2.73,0.0,4.0,4.0,35.0,8.75,0.0,0.0,0.0,0,0.0,0.0,15.7,103
Julius Chestnut,TEN,RB,24,17,0,0.0,0.0,0.0,0.0,0.0,22.0,102.0,4.64,0.0,3.0,2.0,11.0,5.5,0.0,0.0,0.0,0,0.0,0.0,13.3,105
Deuce Vaughn,DAL,RB,23,7,0,0.0,0.0,0.0,0.0,0.0,17.0,70.0,4.12,0.0,5.0,3.0,18.0,6.0,0.0,0.0,0.0,0,0.0,0.0,11.8,106
Raheem Blackshear,CAR,RB,25,16,1,0.0,0.0,0.0,0.0,0.0,15.0,80.0,5.33,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0,0.0,0.0,8.0,108
Jeff Wilson,MIA,RB,29,9,0,0.0,0.0,0.0,0.0,0.0,16.0,57.0,3.56,0.0,3.0,3.0,19.0,6.33,0.0,0.0,0.0,0,0.0,0.0,10.6,109
Clyde Edwards-Helaire,NOR,RB,25,2,0,0.0,0.0,0.0,0.0,0.0,13.0,46.0,3.54,0.0,5.0,3.0,24.0,8.0,0.0,0.0,0.0,0,0.0,0.0,10.0,111
Eric Gray,NYG,RB,25,17,0,0.0,0.0,0.0,0.0,0.0,14.0,31.0,2.21,0.0,11.0,10.0,82.0,8.2,0.0,3.0,2.0,0,0.0,0.0,17.3,110
Tyler Badie,DEN,RB,24,3,0,0.0,0.0,0.0,0.0,0.0,11.0,86.0,7.82,0.0,3.0,3.0,-2.0,-0.67,0.0,1.0,1.0,0,0.0,0.0,9.4,112
Keaton Mitchell,BAL,RB,22,5,0,0.0,0.0,0.0,0.0,0.0,15.0,30.0,2.0,0.0,1.0,1.0,28.0,28.0,0.0,0.0,0.0,0,0.0,0.0,6.8,114
Kene Nwangwu,NYJ,RB,26,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,0.0,0.0,6.0,113
Mike Boone,CAR,RB,29,6,0,0.0,0.0,0.0,0.0,0.0,13.0,51.0,3.92,0.0,3.0,1.0,-2.0,-2.0,0.0,0.0,0.0,0,0.0,0.0,5.9,116
