,Player,Tm,Age,G,GS,Att_Rush,Yds (Rush),Y/A,TD (Rush),Tgt,Rec,Yds_Rec,Yds_per_rec,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,Total_Snaps,Avg Snaps,TM SNAP %,PPR_PassAtt,PPR_Rush,PPR_RushAtt,Tot_PPR_Rec,PPR_Tgt,Tgt_gm,PPR_Rec,PPR_Snap,Year,PPR_Yards_Only
198,RICKY PEARSALL,SFO,24.0,11.0,4.0,3.0,45.0,15.0,0.0,46.0,31.0,400.0,12.9,3.0,0.0,0.0,3.0,0.0,0.0,93.5,0,41,67.5,0.0,4.5,1.5,89.0,1.934782608695652,4.181818181818182,2.870967741935484,,2024,40.0
201,JALEN COKER,CAR,23.0,11.0,4.0,0.0,0.0,,0.0,46.0,32.0,478.0,14.94,2.0,0.0,0.0,2.0,0.0,0.0,92.6,430,39,50.4,0.76,0.0,,91.8,1.995652173913044,4.181818181818182,2.8687500000000004,0.2153488372093023,2024,47.800000000000004
206,ELIJAH MOORE,CLE,24.0,17.0,13.0,1.0,1.0,1.0,0.0,102.0,61.0,538.0,8.82,1.0,0.0,0.0,1.0,0.0,0.0,120.9,892,52,75.6,,0.1,0.1,120.8,1.184313725490196,6.0,1.9803278688524597,0.1355381165919282,2024,53.800000000000004
207,RASHID SHAHEED,NOR,26.0,6.0,5.0,6.0,29.0,4.83,0.0,41.0,20.0,349.0,17.45,3.0,1.0,1.0,4.0,0.0,0.0,79.8,286,47,75.7,,2.9000000000000004,0.4833333333333334,72.9,1.7780487804878051,6.833333333333333,3.645000000000001,0.279020979020979,2024,34.9
211,TIM PATRICK,DET,31.0,16.0,9.0,0.0,0.0,,0.0,44.0,33.0,394.0,11.94,3.0,0.0,0.0,3.0,1.0,0.0,92.4,641,40,59.1,,0.0,,90.4,2.0545454545454547,2.75,2.73939393939394,0.1441497659906396,2024,39.400000000000006
213,TUTU ATWELL,LAR,25.0,17.0,5.0,2.0,7.0,3.5,0.0,62.0,42.0,562.0,13.38,0.0,0.0,0.0,0.0,0.0,0.0,98.9,425,25,39.0,0.0,0.7000000000000001,0.35,98.2,1.5838709677419356,3.647058823529412,2.3380952380952382,0.2327058823529411,2024,56.2
216,DIONTAE JOHNSON,3TM,28.0,12.0,8.0,2.0,6.0,3.0,0.0,67.0,33.0,375.0,11.36,3.0,0.0,0.0,3.0,0.0,0.0,89.1,404,33,44.2,,0.6000000000000001,0.3,88.5,1.3208955223880596,5.583333333333333,2.6818181818181817,0.2205445544554455,2024,37.5
218,GREG DORTCH,ARI,26.0,17.0,4.0,5.0,31.0,6.2,0.0,50.0,37.0,342.0,9.24,3.0,3.0,1.0,3.0,0.0,0.0,90.3,432,25,39.4,,3.1,0.62,89.2,1.784,2.9411764705882355,2.410810810810811,0.2090277777777777,2024,34.2
219,DAVID MOORE,CAR,29.0,17.0,5.0,1.0,0.0,0.0,0.0,57.0,32.0,351.0,10.97,3.0,0.0,0.0,3.0,0.0,0.0,85.1,568,33,54.9,,0.0,0.0,85.1,1.4929824561403509,3.3529411764705883,2.659375,0.1498239436619718,2024,35.1
225,NOAH BROWN,WAS,28.0,11.0,9.0,0.0,0.0,,0.0,56.0,35.0,453.0,12.94,1.0,0.0,0.0,1.0,0.0,0.0,86.3,449,40,51.3,,0.0,,86.30000000000001,1.5410714285714289,5.090909090909091,2.465714285714286,0.1922048997772828,2024,45.300000000000004
227,CEDRIC TILLMAN,CLE,24.0,11.0,6.0,1.0,-5.0,-5.0,0.0,49.0,29.0,339.0,11.69,3.0,1.0,1.0,3.0,1.0,0.0,80.4,432,39,38.5,,-0.5,-0.5,80.9,1.6510204081632651,4.454545454545454,2.789655172413793,0.1861111111111111,2024,33.9
229,STERLING SHEPARD,TAM,31.0,14.0,5.0,8.0,69.0,8.63,0.0,51.0,32.0,334.0,10.44,1.0,0.0,0.0,1.0,1.0,0.0,80.3,509,36,49.4,,6.9,0.8625,71.4,1.4,3.642857142857143,2.23125,0.1577603143418467,2024,33.4
236,CHRIS OLAVE,NOR,24.0,8.0,8.0,1.0,7.0,7.0,0.0,44.0,32.0,400.0,12.5,1.0,1.0,1.0,1.0,0.0,0.0,76.7,315,39,52.5,,0.7000000000000001,0.7000000000000001,78.0,1.7727272727272727,5.5,2.4375,0.2434920634920635,2024,40.0
238,BRANDIN COOKS,DAL,31.0,10.0,9.0,3.0,-3.0,-1.0,0.0,54.0,26.0,259.0,9.96,3.0,0.0,0.0,3.0,0.0,0.0,69.6,471,47,69.5,,-0.3,-0.1,69.9,1.2944444444444445,5.4,2.6884615384615387,0.1477707006369426,2024,25.900000000000002
240,CHRISTIAN KIRK,JAX,28.0,8.0,7.0,0.0,0.0,,0.0,47.0,27.0,379.0,14.04,1.0,0.0,0.0,1.0,0.0,0.0,70.9,337,42,70.2,,0.0,,70.9,1.5085106382978724,5.875,2.625925925925926,0.2103857566765578,2024,37.9
