Player,Tm,FantPos,Age,G,GS,Cmp,Att (Pass),Yds (Pass),TD (Pass),Int,Att (Rush),Yds (Rush),Y/A (Rush),TD (Rush),Tgt (Rec),Receptions,Yds (Rec),Y/R,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,PosRank
Taylor Heinicke,LAC,QB,31,4,0,3.0,5.0,28.0,0.0,0.0,2.0,20.0,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,3.1,66
Hendon Hooker,DET,QB,26,3,0,6.0,9.0,62.0,0.0,0.0,5.0,2.0,0.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,2.7,67
Kyle Allen,PIT,QB,28,1,0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.8,71
Josh Johnson,BAL,QB,38,6,0,2.0,3.0,17.0,0.0,0.0,4.0,1.0,0.25,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.8,70
Nick Mullens,MIN,QB,29,4,0,2.0,2.0,38.0,0.0,0.0,3.0,-2.0,-0.67,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,1.3,68
Chris Oladokun,KAN,QB,27,1,0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0,0.0,0.0,0.5,72
Jarrett Stidham,DEN,QB,28,3,0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.25,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.5,73
Mike White,BUF,QB,29,1,0,3.0,11.0,28.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,1.1,69
Tyson Bagent,CHI,QB,24,4,0,2.0,2.0,11.0,0.0,0.0,6.0,-7.0,-1.17,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,-0.3,77
Jake Browning,CIN,QB,28,3,0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,-1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,-0.2,76
Kyle Trask,TAM,QB,26,4,0,1.0,1.0,5.0,0.0,0.0,5.0,-4.0,-0.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,-0.2,75
Sam Howell,SEA,QB,24,2,0,5.0,14.0,24.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,-0.8,78
Clayton Tune,ARI,QB,25,6,0,2.0,2.0,8.0,0.0,0.0,7.0,-4.0,-0.57,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0,0.0,0.0,-2.1,79
