Player,Tm,FantPos,Age,G,GS,Cmp,Att (Pass),Yds (Pass),TD (Pass),Int,Att (Rush),Yds (Rush),Y/A (Rush),TD (Rush),Tgt (Rec),Receptions,Yds (Rec),Y/R,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,PosRank
D'Andre Swift,CHI,RB,25,17,17,0.0,0.0,0.0,0.0,0.0,253.0,959.0,3.79,6.0,52.0,42.0,386.0,9.19,0.0,2.0,0.0,6,1.0,0.0,214.5,19
Jaxon Smith-Njigba,SEA,WR,22,17,16,1.0,1.0,35.0,0.0,0.0,5.0,26.0,5.2,0.0,137.0,100.0,1130.0,11.3,6.0,1.0,0.0,6,0.0,0.0,253.0,14
Jerry Jeudy,CLE,WR,25,17,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,145.0,90.0,1229.0,13.66,4.0,0.0,0.0,4,2.0,0.0,240.9,15
Garrett Wilson,NYJ,WR,24,17,17,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5,0.0,154.0,101.0,1104.0,10.93,7.0,2.0,2.0,7,1.0,0.0,251.9,16
Najee Harris,PIT,RB,26,17,17,0.0,0.0,0.0,0.0,0.0,263.0,1043.0,3.97,6.0,48.0,36.0,283.0,7.86,0.0,0.0,0.0,6,0.0,0.0,204.6,20
Jordan Addison,MIN,WR,22,15,15,0.0,0.0,0.0,0.0,0.0,3.0,20.0,6.67,1.0,99.0,63.0,875.0,13.89,9.0,0.0,0.0,10,0.0,0.0,212.5,18
A.J. Brown,PHI,WR,27,13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,97.0,67.0,1079.0,16.1,7.0,0.0,0.0,7,0.0,0.0,216.9,17
Tee Higgins,CIN,WR,25,12,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,109.0,73.0,911.0,12.48,10.0,1.0,1.0,10,0.0,0.0,222.1,19
Pat Freiermuth,PIT,TE,26,17,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,78.0,65.0,653.0,10.05,7.0,3.0,2.0,7,0.0,0.0,168.3,9
Kyler Murray,ARI,QB,27,17,17,372.0,541.0,3851.0,21.0,11.0,78.0,572.0,7.33,5.0,0.0,0.0,0.0,,0.0,8.0,4.0,5,1.0,0.0,297.2,10
Travis Kelce,KAN,TE,35,16,16,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,133.0,97.0,823.0,8.48,3.0,2.0,1.0,3,0.0,0.0,195.4,10
Nico Collins,HOU,WR,25,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,99.0,68.0,1006.0,14.79,7.0,0.0,0.0,7,0.0,0.0,210.6,20
Jayden Reed,GNB,WR,24,17,10,0.0,0.0,0.0,0.0,0.0,20.0,163.0,8.15,1.0,75.0,55.0,857.0,15.58,6.0,3.0,1.0,7,0.0,0.0,197.0,21
J.K. Dobbins,LAC,RB,26,13,11,0.0,0.0,0.0,0.0,0.0,195.0,905.0,4.64,9.0,38.0,32.0,153.0,4.78,0.0,0.0,0.0,9,0.0,0.0,191.8,21
Tony Pollard,TEN,RB,27,16,16,0.0,0.0,0.0,0.0,0.0,260.0,1079.0,4.15,5.0,57.0,41.0,238.0,5.8,0.0,2.0,2.0,5,1.0,0.0,200.7,22
Rico Dowdle,DAL,RB,26,16,15,0.0,0.0,0.0,0.0,0.0,235.0,1079.0,4.59,2.0,49.0,39.0,249.0,6.38,3.0,3.0,2.0,5,0.0,0.0,197.8,23
D.J. Moore,CHI,WR,27,17,17,0.0,1.0,0.0,0.0,0.0,14.0,75.0,5.36,0.0,140.0,98.0,966.0,9.86,6.0,1.0,1.0,6,1.0,0.0,238.1,22
Tyreek Hill,MIA,WR,30,17,17,0.0,0.0,0.0,0.0,0.0,8.0,53.0,6.63,0.0,123.0,81.0,959.0,11.84,6.0,0.0,0.0,6,0.0,0.0,218.2,23
Zay Flowers,BAL,WR,24,17,15,0.0,0.0,0.0,0.0,0.0,9.0,56.0,6.22,0.0,116.0,74.0,1059.0,14.31,4.0,0.0,0.0,4,0.0,0.0,209.5,24
Marvin Harrison Jr.,ARI,WR,22,17,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,116.0,62.0,885.0,14.27,8.0,1.0,1.0,8,0.0,0.0,196.5,26
Calvin Ridley,TEN,WR,30,17,14,0.0,0.0,0.0,0.0,0.0,8.0,55.0,6.88,1.0,120.0,64.0,1017.0,15.89,4.0,1.0,1.0,5,0.0,0.0,199.2,25
Jauan Jennings,SFO,WR,27,15,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,113.0,77.0,975.0,12.66,6.0,1.0,0.0,6,0.0,0.0,210.5,27
Justin Herbert,LAC,QB,26,17,17,332.0,504.0,3870.0,23.0,3.0,69.0,306.0,4.43,2.0,0.0,0.0,0.0,,0.0,6.0,2.0,2,0.0,3.0,285.4,11
DeVonta Smith,PHI,WR,26,13,13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,89.0,68.0,833.0,12.25,8.0,0.0,0.0,8,0.0,0.0,199.4,28
Jakobi Meyers,LVR,WR,28,15,15,0.0,0.0,0.0,0.0,0.0,2.0,23.0,11.5,0.0,129.0,87.0,1027.0,11.8,4.0,0.0,0.0,4,1.0,0.0,218.0,29
Patrick Mahomes,KAN,QB,29,16,16,392.0,581.0,3928.0,26.0,11.0,58.0,307.0,5.29,2.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,2,0.0,0.0,283.0,12
Brock Purdy,SFO,QB,25,15,15,300.0,455.0,3864.0,20.0,12.0,66.0,323.0,4.89,5.0,0.0,0.0,0.0,,0.0,7.0,3.0,5,0.0,0.0,266.9,13
Geno Smith,SEA,QB,34,17,17,407.0,578.0,4320.0,21.0,15.0,53.0,272.0,5.13,2.0,0.0,0.0,0.0,,0.0,9.0,0.0,2,0.0,0.0,266.0,14
Aaron Rodgers,NYJ,QB,41,17,17,368.0,584.0,3897.0,28.0,11.0,22.0,107.0,4.86,0.0,0.0,0.0,0.0,,0.0,5.0,2.0,0,0.0,2.0,256.6,15
Caleb Williams,CHI,QB,23,17,17,351.0,562.0,3541.0,20.0,6.0,81.0,489.0,6.04,0.0,0.0,0.0,0.0,,0.0,10.0,5.0,0,0.0,3.0,254.5,16
Jordan Love,GNB,QB,26,15,15,268.0,425.0,3389.0,25.0,11.0,25.0,83.0,3.32,1.0,0.0,0.0,0.0,,0.0,4.0,0.0,1,0.0,3.0,233.9,17
C.J. Stroud,HOU,QB,23,17,17,336.0,532.0,3727.0,20.0,12.0,52.0,233.0,4.48,0.0,1.0,0.0,0.0,,0.0,6.0,4.0,0,0.0,0.0,220.4,18
Matthew Stafford,LAR,QB,36,16,16,340.0,517.0,3762.0,20.0,8.0,30.0,41.0,1.37,0.0,0.0,0.0,0.0,,0.0,6.0,2.0,0,0.0,0.0,214.6,19
Bryce Young,CAR,QB,23,14,12,234.0,384.0,2403.0,15.0,9.0,43.0,249.0,5.79,6.0,0.0,0.0,0.0,,0.0,5.0,2.0,6,0.0,0.0,195.0,20
Tua Tagovailoa,MIA,QB,26,11,11,291.0,399.0,2867.0,19.0,7.0,17.0,49.0,2.88,0.0,0.0,0.0,0.0,,0.0,7.0,2.0,0,0.0,2.0,181.6,21
Drake Maye,NWE,QB,22,13,12,225.0,338.0,2276.0,15.0,10.0,54.0,421.0,7.8,2.0,0.0,0.0,0.0,,0.0,9.0,6.0,2,0.0,2.0,177.1,22
Kirk Cousins,ATL,QB,36,14,14,303.0,453.0,3508.0,18.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.0,2.0,0,0.0,0.0,176.3,23
Russell Wilson,PIT,QB,36,11,11,214.0,336.0,2482.0,16.0,5.0,43.0,155.0,3.6,2.0,0.0,0.0,0.0,,0.0,5.0,4.0,2,0.0,0.0,172.8,24
Anthony Richardson,IND,QB,22,11,11,126.0,264.0,1814.0,8.0,12.0,86.0,499.0,5.8,6.0,1.0,1.0,-1.0,-1.0,0.0,9.0,3.0,6,1.0,0.0,163.4,25
Derek Carr,NOR,QB,33,10,10,189.0,279.0,2145.0,15.0,5.0,17.0,71.0,4.18,1.0,0.0,0.0,0.0,,0.0,3.0,0.0,1,0.0,1.0,150.9,26
Rachaad White,TAM,RB,25,16,15,0.0,0.0,0.0,0.0,0.0,144.0,613.0,4.26,3.0,57.0,51.0,393.0,7.71,6.0,3.0,3.0,9,0.0,0.0,199.6,24
Zach Charbonnet,SEA,RB,23,17,6,0.0,0.0,0.0,0.0,0.0,135.0,569.0,4.21,8.0,52.0,42.0,340.0,8.1,1.0,0.0,0.0,9,0.0,0.0,186.9,25
Trevor Lawrence,JAX,QB,25,10,10,172.0,284.0,2045.0,11.0,7.0,26.0,119.0,4.58,3.0,0.0,0.0,-5.0,,0.0,3.0,1.0,3,0.0,3.0,145.2,27
Tyrone Tracy Jr.,NYG,RB,25,17,12,0.0,0.0,0.0,0.0,0.0,192.0,839.0,4.37,5.0,53.0,38.0,284.0,7.47,1.0,5.0,2.0,6,0.0,0.0,182.3,26
Rhamondre Stevenson,NWE,RB,26,15,14,0.0,0.0,0.0,0.0,0.0,207.0,801.0,3.87,7.0,41.0,33.0,168.0,5.09,1.0,7.0,3.0,8,2.0,0.0,175.9,27
Brian Robinson Jr.,WAS,RB,25,14,13,0.0,0.0,0.0,0.0,0.0,187.0,799.0,4.27,8.0,25.0,20.0,159.0,7.95,0.0,2.0,2.0,8,0.0,0.0,159.8,28
Daniel Jones,NYG,QB,27,10,10,216.0,341.0,2070.0,8.0,7.0,67.0,265.0,3.96,2.0,0.0,0.0,0.0,,0.0,4.0,2.0,2,0.0,0.0,135.3,28
Kenneth Walker III,SEA,RB,24,11,11,0.0,0.0,0.0,0.0,0.0,153.0,573.0,3.75,7.0,53.0,46.0,299.0,6.5,1.0,1.0,0.0,8,0.0,0.0,181.2,29
Kareem Hunt,KAN,RB,29,13,8,0.0,0.0,0.0,0.0,0.0,200.0,728.0,3.64,7.0,32.0,23.0,176.0,7.65,0.0,0.0,0.0,7,0.0,0.0,155.4,30
Jameis Winston,CLE,QB,30,12,7,181.0,296.0,2121.0,13.0,12.0,25.0,83.0,3.32,1.0,0.0,0.0,0.0,,0.0,5.0,2.0,1,0.0,4.0,131.1,29
Rashod Bateman,BAL,WR,25,17,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,72.0,45.0,756.0,16.8,9.0,0.0,0.0,9,0.0,0.0,174.6,30
Darnell Mooney,ATL,WR,27,16,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,106.0,64.0,992.0,15.5,5.0,0.0,0.0,5,0.0,0.0,193.2,31
Puka Nacua,LAR,WR,23,11,11,0.0,0.0,0.0,0.0,0.0,11.0,46.0,4.18,1.0,106.0,79.0,990.0,12.53,3.0,0.0,0.0,4,0.0,0.0,206.6,33
Xavier Worthy,KAN,WR,21,17,13,0.0,0.0,0.0,0.0,0.0,20.0,104.0,5.2,3.0,98.0,59.0,638.0,10.81,6.0,0.0,0.0,9,0.0,0.0,187.2,32
D.K. Metcalf,SEA,WR,27,15,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,108.0,66.0,992.0,15.03,5.0,2.0,2.0,5,0.0,0.0,191.2,34
Alec Pierce,IND,WR,24,16,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,69.0,37.0,824.0,22.27,7.0,0.0,0.0,7,0.0,0.0,161.4,35
Tank Bigsby,JAX,RB,23,16,1,0.0,0.0,0.0,0.0,0.0,168.0,766.0,4.56,7.0,12.0,7.0,54.0,7.71,0.0,4.0,1.0,7,0.0,0.0,129.0,31
Quentin Johnston,LAC,WR,23,15,11,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,0.0,91.0,55.0,711.0,12.93,8.0,0.0,0.0,8,0.0,0.0,174.7,36
Will Levis,TEN,QB,25,12,12,190.0,301.0,2091.0,13.0,12.0,45.0,183.0,4.07,0.0,0.0,0.0,0.0,,0.0,10.0,6.0,0,0.0,1.0,119.9,30
Justin Fields,PIT,QB,25,10,6,106.0,161.0,1106.0,5.0,1.0,62.0,289.0,4.66,5.0,0.0,0.0,0.0,,0.0,6.0,1.0,5,0.0,0.0,119.1,31
Dak Prescott,DAL,QB,31,8,8,185.0,286.0,1978.0,11.0,8.0,13.0,54.0,4.15,1.0,0.0,0.0,0.0,,0.0,4.0,1.0,1,0.0,0.0,116.5,32
Keenan Allen,CHI,WR,32,15,15,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,121.0,70.0,744.0,10.63,7.0,1.0,0.0,7,0.0,0.0,184.4,37
Josh Downs,IND,WR,23,14,8,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,0.0,107.0,72.0,803.0,11.15,5.0,0.0,0.0,5,0.0,0.0,183.5,38
Cooper Rush,DAL,QB,31,12,8,187.0,308.0,1844.0,12.0,5.0,26.0,18.0,0.69,0.0,0.0,0.0,0.0,,0.0,9.0,3.0,0,0.0,1.0,109.6,33
Cooper Kupp,LAR,WR,31,12,11,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.0,0.0,100.0,67.0,710.0,10.6,6.0,1.0,0.0,6,0.0,0.0,175.0,39
Khalil Shakir,BUF,WR,24,15,9,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,100.0,76.0,821.0,10.8,4.0,1.0,0.0,4,0.0,0.0,182.5,40
Javonte Williams,DEN,RB,24,17,11,0.0,0.0,0.0,0.0,0.0,139.0,513.0,3.69,4.0,70.0,52.0,346.0,6.65,0.0,2.0,2.0,4,0.0,0.0,157.9,32
George Pickens,PIT,WR,23,14,12,0.0,0.0,0.0,0.0,0.0,2.0,-6.0,-3.0,0.0,103.0,59.0,900.0,15.25,3.0,1.0,1.0,3,0.0,0.0,164.4,41
Jordan Mason,SFO,RB,25,12,6,0.0,0.0,0.0,0.0,0.0,153.0,789.0,5.16,3.0,14.0,11.0,91.0,8.27,0.0,3.0,1.0,3,0.0,0.0,115.0,33
Nick Westbrook-Ikhine,TEN,WR,27,17,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,60.0,32.0,497.0,15.53,9.0,0.0,0.0,9,0.0,0.0,135.7,42
