NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM SNAP %,TD
Khalil Herbert,RB,CHI,1,27,32,28,56,42,,,,,,32,15,,12,17,36,37,23,357,29,44.9,3
Ko Kieft,TE,TB,2,32,18,10,15,,14,12,6,10,7,9,8,10,3,13,17,,23,207,12,18.8,1
Malik Heath,WR,GB,3,29,10,11,,,,,,7,3,15,11,11,23,20,51,46,23,260,20,23.7,1
Sam LaPorta,TE,DET,1,58,54,52,60,52,58,54,81,,53,53,73,47,56,63,75,69,23,981,57,83.3,10
Samaje Perine,RB,DEN,2,29,33,19,22,38,9,15,17,,25,20,18,12,14,25,24,17,23,360,21,33.6,1
Brian Robinson Jr.,RB,WAS,1,43,38,20,43,25,27,34,35,44,31,63,35,12,,,,25,21,496,33,44.8,9
Charlie Jones,WR,CIN,1,,,3,,,,,,,,1,4,1,3,4,7,,21,44,4,6.3,1
Donovan Peoples-Jones,WR,DET,2,66,76,63,62,,61,46,65,,,3,8,12,9,11,5,3,21,511,34,45,0
Travis Vokolek,TE,ARI,4,,,,,,,,,,,,,,,,,19,21,40,20,19.3,0
Boston Scott,RB,PHI,1,8,10,,,,5,,1,,,7,5,6,3,1,2,,20,68,4,5.9,0
Deebo Samuel,WR,SF,1,59,51,68,48,52,9,,,,35,51,50,49,42,48,67,59,20,708,47,66.4,12
Lynn Bowden Jr.,WR,NO,2,,,5,11,9,9,13,24,14,19,,46,48,40,37,13,18,20,326,21,29.8,0
Michael Gallup,WR,DAL,1,39,63,56,37,40,45,,33,36,37,25,18,41,40,29,33,20,20,612,36,51.7,2
Rashaad Penny,RB,PHI,4,,9,,,,,,,2,,,,,,,,,20,31,10,2.7,0
Will Dissly,TE,SEA,2,16,38,,29,,32,34,23,11,33,25,15,25,19,24,16,21,20,381,23,36.3,1
Derius Davis,WR,LAC,1,3,11,6,12,,2,11,9,8,18,7,4,7,,4,15,13,19,149,8,12.9,1
Gus Edwards,RB,BAL,1,15,32,32,40,30,44,30,34,14,28,25,19,,20,28,29,31,19,470,27,41.7,13
Isaiah Likely,TE,BAL,2,46,25,19,15,8,17,21,7,19,4,49,52,,57,52,50,36,19,496,29,44,5
Ian Thomas,TE,CAR,3,15,19,13,25,15,,,,,,16,25,48,3,,12,6,19,216,18,24.5,0
Jerome Ford,RB,CLE,1,30,43,40,43,,38,32,26,47,50,37,51,36,43,35,35,24,19,629,37,50.7,9
Kayshon Boutte,WR,NE,2,55,,,,,,,,,26,,11,,,,5,,19,116,23,11,0
Scotty Miller,WR,ATL,1,10,10,10,14,18,28,14,23,21,15,,24,17,18,10,7,8,19,266,15,23.5,2
Zach Pascal,WR,ARI,2,5,23,14,21,10,11,,11,31,3,,7,,,21,9,17,19,202,14,17.8,0
Ameer Abdullah,RB,OAK,2,7,6,12,15,11,9,10,10,8,10,14,12,,15,17,12,30,18,216,12,20.7,0
Brycen Hopkins,TE,LAR,2,23,9,2,8,5,1,2,5,11,,3,,,4,2,2,1,18,96,6,8.4,0
Chase Brown,RB,CIN,2,,1,1,1,1,4,,,,,,,11,18,13,14,11,18,93,7,11.2,1
Grant Calcaterra,TE,PHI,3,4,10,12,1,6,5,15,,,,12,,13,3,,14,5,18,118,7,10.3,0
Gabe Davis,WR,BUF,1,65,58,52,42,54,54,68,68,54,53,67,91,,63,49,47,63,18,966,56,83,7
Joshua Kelley,RB,LAC,2,39,54,48,39,,20,23,15,20,22,19,13,26,7,15,8,6,18,392,23,33.9,2
Justin Watson,WR,KC,2,19,31,31,43,29,28,,22,38,,50,34,40,36,44,49,24,18,536,33,47.4,3
Mitchell Wilcox,TE,CIN,3,7,2,32,19,21,6,,9,10,5,4,12,12,22,17,15,19,18,230,13,21.1,0
Tyler Allgeier,RB,ATL,2,29,36,20,15,34,23,33,15,24,19,,18,11,15,26,13,11,18,360,21,31.9,5
Zach Gentry,TE,OAK,2,,,,,,,,,,,,,,,,,,18,18,18,12.8,0
Calvin Austin III,WR,PIT,1,35,41,45,53,37,,7,18,17,13,10,18,9,20,9,11,14,17,374,22,34.9,2
Chase Edmonds,RB,TB,2,8,3,,,,,,8,8,18,15,7,9,12,12,24,15,17,156,12,18.2,0
David Moore,WR,TB,2,,,,,,,,,,,,11,8,14,16,23,16,17,105,15,23.5,1
Julian Hill,TE,MIA,2,,,57,10,14,31,14,34,7,,47,21,20,15,22,11,23,17,343,22,31.2,0
Julio Jones,WR,PHI,1,,,,,,,16,15,19,,32,47,10,13,22,20,20,17,231,21,32.8,3
KhaDarel Hodge,WR,ATL,2,7,11,13,14,37,29,12,29,46,28,,27,21,23,19,20,17,17,370,21,32.7,0
Kevin Rader,TE,TEN,3,,,,9,5,13,,16,6,4,3,5,9,10,10,27,12,17,146,10,16.7,0
Sterling Shepard,WR,NYG,2,14,10,2,5,20,1,10,,1,11,26,16,,,3,1,5,17,142,9,12.9,1
Tyjae Spears,RB,TEN,1,34,24,27,35,31,31,,30,44,38,18,21,57,47,33,37,34,17,558,32,53.1,3
Collin Johnson,WR,CHI,3,,,,,,,,,,,,,,,,13,11,16,40,13,15.2,0
Irvin Charles,WR,NYJ,2,,,,,2,5,,,4,4,,2,,2,2,,6,16,43,3,4.6,0
Luke Farrell,TE,JAX,2,33,19,25,26,33,29,20,33,,9,28,32,28,23,21,5,31,16,411,24,35.2,0
Leonard Fournette,RB,BUF,,,,,,,,,,,,,,,,,10,,16,26,13,19.5,0
Marcedes Lewis,TE,CHI,3,5,8,9,21,22,16,23,17,14,20,30,24,,18,25,35,29,16,332,19,29.2,1
Robert Tonyan,TE,CHI,2,4,18,8,19,21,16,22,15,15,23,13,19,,17,17,31,49,16,323,19,28.4,0
D'Ernest Johnson,RB,JAX,1,1,6,12,1,1,2,2,3,,12,17,30,25,20,18,17,12,15,194,11,16.6,0
Tyler Scott,WR,CHI,1,13,12,10,14,15,39,40,38,40,28,27,12,,26,37,29,44,15,439,25,38.6,0
Deonte Harty,WR,BUF,1,15,15,13,15,15,10,19,6,3,4,14,,,3,2,4,3,14,155,9,13.3,2
Eric Gray,RB,NYG,3,,,,,30,1,,,,,,2,,1,11,,6,14,65,5,7.6,0
Jake Bobo,WR,SEA,2,12,17,31,21,,23,45,18,9,22,23,12,8,10,14,16,5,14,300,17,28.5,3
MyCole Pruitt,TE,ATL,3,25,38,18,19,35,32,26,19,29,30,,16,20,21,23,24,14,14,403,23,35.7,1
Eric Saubert,TE,HOU,3,,,,,,,,,12,24,,11,19,17,,3,18,13,117,11,16,0
Mack Hollins,WR,ATL,3,33,58,48,46,30,28,23,14,14,,,,,6,,15,17,13,345,26,30.5,0
Ty Johnson,RB,BUF,1,,,,,,,1,,,1,16,11,,16,20,,13,13,91,9,11.8,1
A.J. Brown,WR,PHI,1,60,74,66,68,78,67,59,62,60,,53,62,62,51,66,73,46,12,1019,59,88.8,7
AJ McCarron,QB,CIN,,,,,,,,,,,,,,,5,,,,12,17,8,3.8,0
Ben Sims,TE,GB,4,9,5,3,6,9,,4,5,5,,16,14,20,10,10,20,41,12,189,11,17.2,1
Brenton Strange,TE,JAX,3,27,17,21,26,24,34,13,29,,14,27,24,,,,11,30,12,309,22,26.5,1
Kalif Raymond,WR,DET,1,19,28,25,17,29,15,27,21,,17,13,24,13,23,20,26,19,12,348,20,29.5,1
Mason Kinsey,WR,TEN,2,,,2,1,,,,,,,,,,,2,3,5,12,25,4,7.1,0
Trent Taylor,WR,CHI,1,4,23,,,,2,6,10,5,6,5,4,,10,5,4,27,12,123,7,10.8,0
Clyde Edwards-Helaire,RB,KC,2,14,11,23,6,9,9,7,2,,,4,12,17,32,40,30,,11,227,15,20.1,2
Patrick Taylor,RB,GB,3,7,11,31,,21,,,,,,,27,20,32,26,20,20,11,226,20,32.5,0
Romeo Doubs,WR,GB,1,29,38,68,50,50,,52,56,62,56,49,48,52,56,54,58,56,11,845,49,77.1,8
Trevon Wesco,TE,TEN,2,25,40,20,26,28,24,,40,39,22,16,34,46,25,28,,,11,424,28,40.4,0
Velus Jones Jr.,WR,CHI,1,,4,,3,5,7,8,3,10,,,1,,10,10,13,15,11,100,7,8.8,0
Zack Moss,RB,IND,2,,56,64,53,53,39,35,28,13,9,,30,67,54,19,,,11,531,37,46.3,7
Antoine Green,WR,DET,2,,7,14,15,11,4,33,5,,7,,,,,,,,10,106,11,9,0
John FitzPatrick,TE,ATL,5,,1,,1,1,,,,,5,,,,,,,,10,18,1,1.6,0
KaVontae Turpin,WR,DAL,1,11,16,2,21,2,2,,11,13,,12,5,13,11,1,9,1,10,140,8,11.8,4
Logan Woodside,QB,ATL,3,,,,,,,,,,,,,,,,,,10,10,10,0.9,0
Brandon Powell,WR,MIN,1,,,4,1,22,34,43,38,52,49,44,36,,36,2,28,9,9,407,23,36.3,1
Byron Pringle,WR,WAS,2,,13,6,18,11,4,4,7,18,10,21,17,16,,8,11,10,9,183,10,16.5,0
Elijah Cooks,WR,JAX,2,,,,,,10,5,7,,17,,,,7,14,14,25,9,108,12,9.3,0
Ihmir Smith-Marsette,WR,CAR,1,2,,3,5,,6,,,,1,1,7,12,26,18,21,12,9,123,7,10.7,2
Jalen Brooks,WR,DAL,2,,15,,,,5,,,,24,16,6,,,,,2,9,77,11,6.5,0
Jalin Hyatt,WR,NYG,1,25,14,16,45,33,56,48,25,37,17,29,31,,36,44,35,57,9,557,32,50.5,0
Jaleel McLaughlin,RB,DEN,3,5,3,13,16,21,21,10,8,,11,8,2,9,13,8,17,19,9,193,11,18,3
Luke Musgrave,TE,GB,2,45,44,68,14,40,,43,49,60,50,46,,,,,,,9,468,42,66.1,1
Michael Carter,RB,ARI,3,12,15,15,18,20,13,,15,25,9,,27,13,,18,2,13,9,224,14,21.4,1
Payne Durham,TE,TB,3,,,,,,6,15,8,10,11,12,12,11,4,13,11,6,9,128,9,11.6,0
River Cracraft,WR,MIA,2,27,18,25,,,,,,,,21,24,24,14,8,,15,9,185,18,25.6,1
Tank Bigsby,RB,JAX,3,15,13,9,8,13,17,8,6,,10,10,2,2,1,1,,17,9,141,8,12.1,2
Alex Armah,RB,WAS,1,,,,,,,,6,10,6,,,,,8,4,5,8,47,5,6.8,0
Cordarrelle Patterson,RB,ATL,1,,,,1,5,10,26,12,9,22,,16,21,12,14,13,8,8,177,12,15.7,1
Deven Thompkins,WR,TB,1,18,32,10,45,,14,19,11,9,15,16,4,13,5,11,14,7,8,251,14,22.8,1
Melvin Gordon III,RB,BAL,,,,29,11,,,,,,,,,,,,,8,8,56,14,14.5,1
Nate Adkins,TE,DEN,4,,5,6,6,7,,6,4,,,8,7,,,,,3,8,60,6,5.6,0
Noah Fant,TE,SEA,1,25,34,47,25,,31,36,34,26,48,40,33,44,36,38,47,22,8,574,33,54.6,0
Tucker Fisk,TE,ATL,4,,,,,,,2,,18,,,,,,20,14,10,8,72,12,19.5,0
Tim Jones,WR,JAX,2,2,6,24,39,23,13,14,25,,33,14,5,17,10,22,45,39,8,339,19,29.1,0
Cooper Rush,QB,DAL,2,7,,,7,10,,,9,,18,11,,,,,,,7,69,8,5.8,0
Dyami Brown,WR,WAS,2,19,23,12,25,17,11,11,22,23,11,21,19,11,,6,13,2,7,253,14,22.9,1
Dare Ogunbowale,RB,HOU,3,,16,,,,,,,,,1,,11,16,15,31,11,7,108,9,9.5,0
Emari Demercado,RB,ARI,2,3,8,11,25,44,33,53,42,,,,14,2,,18,23,9,7,292,20,25.8,2
Josiah Deguara,TE,GB,3,19,19,17,36,15,,17,5,13,5,1,,,7,9,15,11,7,196,13,17.9,0
Jimmy Graham,TE,NO,4,9,10,17,42,27,14,18,,,,,,2,8,10,2,5,7,171,13,14.8,4
Kareem Hunt,RB,CLE,2,,,14,15,,28,19,27,21,28,33,19,25,28,22,31,22,7,339,22,31.4,9
Miles Sanders,RB,CAR,2,44,37,51,31,33,,,12,18,23,27,27,23,17,18,24,14,7,406,25,35.3,1
Peyton Hendershot,TE,DAL,3,28,31,37,,,,,,,,,,,15,7,16,18,7,159,19,23.1,0
Randall Cobb,WR,NYJ,2,22,23,46,23,23,36,,,,,,7,,13,7,,3,7,210,19,19.1,1
Austin Trammell,WR,LAR,1,,1,,,1,4,2,2,3,,46,3,1,2,1,,1,6,73,4,6.8,0
D.J. Montgomery,WR,IND,2,,,,,,,,,,,,3,3,5,42,61,4,6,124,17,26.5,1
Elijah Moore,WR,CLE,1,51,67,54,57,,61,59,64,45,65,53,63,52,53,54,67,32,6,903,53,72.8,2
Kevin Harris,RB,NE,2,,,,,,,,,,,,,,,7,10,11,6,34,8,12.2,1
Zach Evans,RB,LAR,4,,,,,,6,,,,,1,3,,,,,,6,16,1,1.4,0
Brady Russell,TE,SEA,4,,,5,,,,2,1,,,2,,,,1,,,5,16,1,1.7,0
Hunter Renfrow,WR,OAK,1,13,26,37,33,19,7,24,28,13,27,27,28,,26,27,11,12,5,363,21,34.7,0
Israel Abanikanda,RB,NYJ,2,,,,,,,,,,,10,,,5,22,16,19,5,77,11,7,0
Miles Boykin,WR,PIT,2,5,4,8,6,12,,,5,6,9,6,8,12,8,4,17,6,5,121,7,11.3,0
Matt Breida,RB,NYG,2,16,2,41,55,42,18,11,8,18,13,6,10,,10,24,5,4,5,288,16,26.1,1
Stephen Sullivan,TE,CAR,2,,,,,,6,,13,15,,11,20,33,27,14,14,12,5,170,15,21.5,0
Tyler Goodson,RB,IND,3,,,,,,,,,,,,,3,6,19,14,3,5,50,8,12.7,0
Chase Claypool,WR,MIA,4,58,42,44,,,,4,11,14,,,,,,5,3,10,4,195,16,17,1
DeAndre Carter,WR,OAK,1,10,9,8,8,18,6,3,1,9,7,3,7,,2,5,,2,4,102,6,9.8,0
Dareke Young,WR,SEA,2,,,,,,,,,,2,,,,1,1,1,,4,9,1,1.6,0
Gerald Everett,TE,LAC,1,55,28,38,45,,54,30,,32,24,,42,39,46,41,49,45,4,572,38,49.4,3
Jamison Crowder,WR,WAS,1,,,1,,8,,,23,37,6,24,11,5,,3,5,12,4,139,8,12.6,1
Johnny Johnson III,WR,HOU,8,,,,,,,,,,,,,,,,,,4,4,4,7.1,0
Kyle Philips,WR,TEN,1,,,,,13,27,,18,22,22,11,12,,3,,,,4,132,14,16.3,0
Malik Cunningham,QB,BAL,3,,,,,,6,,,,,,,,,,,,4,10,5,2,0
Tommy Devito,QB,NYG,2,,,,,,,,50,42,57,55,52,,56,58,32,,4,406,40,52.8,9
Jimmy Garoppolo,QB,OAK,2,57,40,72,,64,43,,46,,,,,,,,,,3,325,46,31.1,7
Jordan Mims,RB,NO,4,,,,,,,,,,,,,,,,,,3,3,1,2,0
Jonathan Ward,RB,TEN,3,,,,,,,,3,,,,,,1,,,3,3,10,1,1.9,0
Matt Sokol,TE,NE,,,,,,,,,,,,,,,,,10,1,3,14,4,8.3,0
Raheem Blackshear,RB,CAR,1,,,,,,12,,10,7,7,2,,2,4,1,1,2,3,51,4,4.4,0
Craig Reynolds,RB,DET,2,,10,20,1,13,43,7,24,,3,2,1,2,1,,3,,2,132,7,11.2,1
Clayton Tune,QB,ARI,2,,,,,,,,,52,2,,1,,,2,,1,2,60,7,5.3,1
DJ Turner,WR,OAK,2,,,,,,,,,3,,,,,,3,4,,2,12,1,2,0
Nick Muse,TE,MIN,3,,,,,,,,,,,,,,,,,,2,2,1,0.2,0
Quintin Morris,TE,BUF,3,6,15,19,15,6,18,,,2,14,29,25,,7,18,2,7,2,185,12,15.9,1
Robbie Chosen,WR,MIA,3,,,42,18,10,17,,,,,5,,,,23,5,13,2,135,15,13.9,1
Will Mallory,TE,IND,3,,11,,,,9,9,15,,9,,27,13,20,8,27,9,2,159,13,13.9,0
Zack Kuntz,TE,NYJ,3,,,,,,,,,,,,,,,,,,2,2,2,1.4,0
Derrick Gore,RB,WAS,3,,,,6,7,,,,,,3,,,,,7,,1,24,4,6.2,0
Gunner Olszewski,WR,NYG,1,,1,,,4,,,,,,,,,,2,3,2,1,13,1,1.4,1
Jameis Winston,QB,NO,2,,,23,1,7,,,,,33,,,9,2,,,,1,76,10,6.6,2
Lucky Jackson,WR,MIN,2,,,,,,,,,,,,,,,,1,1,1,3,1,1.7,0
Nathan Peterman,QB,CHI,3,,,,,,,3,,,,,,,,,,,1,4,2,0.4,0
Rodney Williams,TE,PIT,4,,,,,4,,11,12,3,3,,4,5,4,2,2,4,1,55,4,6.6,0
Trayveon Williams,RB,CIN,1,16,10,14,6,12,9,,11,13,14,19,8,5,1,4,3,10,1,156,9,14.3,0
Andre Baccellia,WR,ARI,6,,,,,,,,2,3,,5,8,31,,,,,,49,9,14.9,0
Amari Cooper,WR,CLE,1,46,63,57,56,,64,66,63,58,72,67,54,23,64,65,65,,,883,58,71.2,5
Andy Dalton,QB,CAR,2,,1,79,,1,,,,,,,,,,,,,,81,20,7,2
AJ Dillon,RB,GB,2,29,34,41,38,37,,36,35,29,34,52,29,40,36,,12,12,,494,32,45.1,2
Anthony Firkser,TE,DET,2,,,,,,,,,,,,,,,,2,,,2,1,1.4,0
Andy Isabella,WR,BUF,7,,,,,,,,,,,,2,,,,,,,2,1,1.2,0
Alvin Kamara,RB,NO,1,,,,49,45,66,66,38,31,51,,46,39,28,32,44,23,,558,42,58.4,6
Allen Lazard,WR,NYJ,1,42,44,61,51,60,50,,52,72,59,37,,32,49,52,24,,,685,48,62.2,1
Anthony McFarland Jr.,RB,PIT,,5,,,,,,,,,1,,,,,,,,,6,2,1.3,0
Albert Okwuegbunam,TE,PHI,2,,,,,,,,,6,,10,9,32,,,,,,57,14,5.5,0
Anthony Richardson,QB,IND,1,69,18,,64,22,,,,,,,,,,,,,,173,43,50.4,7
Amari Rodgers,WR,IND,,,,,4,1,20,,,,,,,,,,,,,25,8,12,0
Aaron Rodgers,QB,NYJ,1,4,,,,,,,,,,,,,,,,,,4,4,1.4,0
Brandon Bolden,RB,OAK,4,,,,,,,,,,,,,,,2,1,2,,5,0,0.5,1
Brian Hoyer,QB,OAK,3,2,,,,,27,51,,,,,,,,,,,,80,26,7.6,0
Brock Purdy,QB,SF,1,66,57,79,54,60,62,53,59,,49,60,66,55,54,46,51,65,,936,58,87.8,33
Brett Rypien,QB,NYJ,2,,,,,,,,20,58,,,,,,,,,,78,39,7.7,0
Blake Whiteheart,TE,ARI,3,,,,,,,,,,,,,,,,2,,,2,1,0.3,0
Brock Wright,TE,DET,2,27,26,29,44,37,43,26,46,,34,24,28,23,24,12,,,,423,30,35.9,1
Cam Akers,RB,MIN,2,28,,,14,21,9,27,17,23,,,,,,,,,,139,19,21.8,2
C.J. Beathard,QB,JAX,2,,,5,,,3,,,,3,8,,16,,,21,57,,113,16,9.7,1
Chris Blair,WR,ATL,,,,,,,,,,,,,9,,,,,,,9,9,14.5,0
Chris Brooks,RB,MIA,4,,,13,,7,11,,,,,,,,,,,5,,36,4,6.3,0
Corey Clement,RB,ARI,,,,,,,,,,,,,,,,,,,,0,0,0,0
Chase Cota,WR,HOU,,,,,,,,,,,,,,,,,,,,0,0,0,0
Colton Dowell,WR,TEN,6,,,,15,,1,,,,,7,4,3,2,3,14,2,,51,5,5.1,0
Chris Evans,RB,CIN,4,7,,,,3,2,,4,5,2,1,,,,,,,,24,3,2.2,0
Cole Fotheringham,TE,OAK,5,,,,,,,,,,,,,,,,19,2,,21,10,16.2,0
Cephus Johnson,WR,TB,,,,,,,,,,,,,,,,,,,,0,0,0,0
Case Keenum,QB,HOU,3,,,,,,,,,,,,,,,76,37,,,113,56,10,1
Christian Kirk,WR,JAX,1,42,54,63,52,73,45,45,47,,51,54,58,1,,,,,,585,48,65.1,3
Cooper Kupp,WR,LAR,1,,,,,53,57,68,62,49,,18,59,63,75,75,70,61,,710,59,83.5,5
Chris Manhertz,TE,DEN,2,25,21,13,21,15,24,18,39,,30,18,27,25,23,16,24,28,,367,22,34.2,0
Christian McCaffrey,RB,SF,1,58,57,51,47,52,36,53,57,,47,52,51,52,48,43,70,38,,812,50,76.2,21
Chris Pierce,TE,CAR,,,,,,,,,,,,,,,,,,,,0,0,0,0
Chris Rodriguez Jr.,RB,WAS,,3,2,1,,,6,9,,,,16,4,12,,20,24,,,97,7,9.6,2
Cody Thompson,WR,SEA,,2,1,7,6,,4,3,,,,,,,,,,,,23,3,4.5,0
Cole Turner,TE,WAS,3,10,23,31,6,11,9,14,,4,,11,12,7,,,4,,,142,11,12.8,0
C.J. Uzomah,TE,NYJ,2,30,15,28,21,29,24,,30,28,23,6,3,2,,,,,,239,19,32,1
Christian Watson,WR,GB,1,,,,26,49,,56,56,56,51,56,49,47,,,,,,446,49,40.7,5
Devon Allen,WR,PHI,,,,,,,,,,,,,,,,,,,,0,0,0,0
Damiere Byrd,WR,ATL,,,,,,,,,,19,,,,,,,,,,19,19,27.5,0
Dan Chisena,WR,ARI,8,,,,,,,,,,,,,1,,,,,,1,0,0.4,0
Dalvin Cook,RB,NYJ,3,27,17,16,15,11,9,,8,7,10,14,19,18,16,10,5,,,202,13,19.5,0
DeeJay Dallas,RB,SEA,1,11,9,10,4,,4,14,,,,7,7,28,1,,1,,,96,5,9.1,0
Darrell Daniels,TE,DET,,,,,5,15,2,,,,,,,,,,,,,22,7,10.7,0
Dylan Drummond,WR,DET,,,,,,5,,,,,,,,,,,,,,5,5,8.3,0
Devin Duvernay,WR,BAL,2,7,22,18,35,6,15,9,2,16,4,,2,,,,,,,136,10,15.6,0
Dee Eskridge,WR,SEA,4,,,,,,,,3,,,14,1,,,,,,,18,4,3.2,0
Darrynton Evans,RB,MIA,6,,,,,,24,34,18,6,6,,5,,,,,,,93,13,19.6,1
Dez Fitzpatrick,WR,PIT,8,,,,,,,,,,,,,,,,,,,0,0,0,0
D'Onta Foreman,RB,CHI,2,21,,,,,40,33,21,40,38,18,,,39,19,,,,269,29,23.6,5
Damien Harris,RB,BUF,2,9,14,9,16,11,1,,,,,,,,,,,,,60,10,15.2,1
Darrell Henderson Jr.,RB,LAR,,,,,,,,39,29,34,,24,,,,,,,,126,31,49.4,2
Deon Jackson,RB,NYG,2,51,,,,,,,,1,,,,,,,,,,52,13,11.5,0
Daniel Jones,QB,NYG,1,67,68,47,73,49,,,,21,,,,,,,,,,325,54,52.6,3
Dalton Keene,TE,HOU,5,,,,,,,,,,8,,,,,,,,,8,8,10.7,0
Drew Lock,QB,SEA,2,,,,17,,,,,,,8,,,59,61,,,,145,36,13.8,3
Davis Mills,QB,HOU,2,,,,,,,,,,,1,,2,8,1,38,3,,53,8,4.7,2
Darnell Mooney,WR,CHI,1,62,15,36,54,50,52,48,56,59,48,45,57,,64,63,57,,,766,51,67.3,1
David Njoku,TE,CLE,1,54,74,52,48,,63,72,61,56,68,67,62,59,62,58,65,49,,970,60,78.2,6
Drew Ogletree,TE,IND,5,15,,28,28,40,28,42,38,23,,,,28,17,38,11,,,336,28,29.3,2
Devine Ozigbo,RB,DET,,,,,,,6,,2,,,,,,,,,,,8,2,3.5,0
Dameon Pierce,RB,HOU,1,35,38,30,42,34,21,,25,,,,11,26,8,4,11,12,,297,21,26.2,3
Deneric Prince,RB,KC,,,,,,,,,,,,,,,,,,,,0,0,0,0
David Sills,WR,DEN,8,,,,,,,,,,4,7,5,,,,,,,16,5,8.1,0
DeVonta Smith,WR,PHI,1,65,77,79,70,74,69,69,61,58,,53,65,72,52,66,70,43,,1043,65,90.9,7
D'Andre Swift,RB,PHI,1,19,58,43,45,49,40,49,44,40,,36,42,30,28,41,43,23,,630,39,54.9,6
Dorian Thompson-Robinson,QB,CLE,2,,,5,69,,,,1,,,75,52,,2,1,9,,,214,26,19,1
Deuce Vaughn,RB,DAL,2,8,13,,22,5,,,,,5,,,,,,,8,,61,7,5.5,0
Dwayne Washington,RB,DEN,6,,,,,,,,1,,,,,,,,,,,1,0,0.1,0
Deshaun Watson,QB,CLE,1,74,87,66,,,,12,,67,77,,,,,,,,,383,63,56.2,8
David Wells,TE,TB,,8,18,5,8,,,,,,,,,,,,,4,,43,8,6,0
Damien Williams,RB,ARI,,,,,,,13,12,3,,,,,,,,,,,28,9,12.8,0
Elijah Dotson,RB,LAC,4,1,9,1,5,,,,,,,,,,,,,,,16,4,2.1,0
Erik Ezukanma,WR,MIA,7,19,10,,,,,,,,,,,,,,,,,29,14,14.3,0
Ethan Fernea,WR,IND,,,,,,,,,,,,,,,,,2,,,2,0,1,0
Evan Hull,RB,IND,3,8,,,,,,,,,,,,,,,,,,8,8,11.1,0
Emanuel Wilson,RB,GB,4,,5,8,,1,,5,,8,3,6,,,,,,,,36,5,5.1,0
Easop Winston Jr.,WR,SEA,2,,,,,,,2,,,,,,,,,,,,2,2,3.3,0
Frank Darby,WR,ATL,,,,,,,,,,,,,,,,,,,,0,0,0,0
Gary Brightwell,RB,NYG,5,11,2,9,19,,,,,,,,,,,,,,,41,5,8.5,0
Greg Dulcich,TE,DEN,1,21,,,,,11,,,,,,,,,,,,,32,16,27.6,0
Godwin Igwebuike,RB,PIT,1,1,1,,,,,,,,,,,,,,,,,2,0,0.2,0
George Kittle,TE,SF,1,47,55,69,53,56,61,51,55,,45,58,66,55,50,48,62,64,,895,55,84,6
Giovanni Ricci,TE,CAR,5,8,1,,3,,,,,,,,,,,,,,,12,2,2.8,0
Geoff Swaim,TE,ARI,3,18,28,32,20,22,15,25,27,25,32,24,20,34,,15,,,,337,24,36.4,0
Hunter Henry,TE,NE,1,63,68,62,44,42,37,30,31,56,50,,46,47,50,38,,,,664,47,66.8,6
Hayden Hurst,TE,CAR,1,41,33,48,37,42,38,,22,42,33,,,,,,,,,336,37,36.8,1
Hunter Kampmoyer,TE,LAC,,,,,,,,,,,,,1,,,,,,,1,1,1.5,0
Hunter Long,TE,LAR,2,,,,,,,,,,,,15,21,19,,,,,55,13,20,0
Isaiah McKenzie,WR,IND,4,1,2,9,7,7,4,9,5,27,26,,6,6,8,,,,,117,9,12.3,0
Isiah Pacheco,RB,KC,1,31,34,32,42,39,45,36,33,41,,48,47,47,,,43,50,,568,40,50.3,9
Irv Smith Jr.,TE,CIN,2,30,46,,,50,33,,37,25,21,24,16,23,8,17,,,,330,27,30.3,1
Isaiah Spiller,RB,LAC,3,,4,16,15,,3,,8,,,,,,12,24,17,12,,111,12,9.6,0
Jamal Agnew,WR,JAX,4,3,25,40,,11,20,29,20,,3,,,,,10,31,9,,201,18,25,1
Jacoby Brissett,QB,WAS,2,,,,,,,,,,,,,3,,16,27,,,46,15,4.2,3
Joe Burrow,QB,CIN,1,52,60,77,53,82,54,,63,70,64,27,,,,,,,,602,60,94.1,15
Julius Chestnut,RB,TEN,3,6,1,,,,,,,,,,,,,,,,,7,2,4,0
Jashaun Corbin,RB,NYG,4,,,,,,,,,,15,,,,,,,,,15,2,2.4,0
Jaelon Darden,WR,CLE,7,,,,,,,,,,,,,,,,,,,0,0,0,0
J.K. Dobbins,RB,BAL,1,30,,,,,,,,,,,,,,,,,,30,30,46.9,1
Joshua Dobbs,QB,MIN,3,62,65,61,71,57,76,66,77,64,73,74,55,,53,,,,,854,65,75.4,19
Jacob Eason,QB,NYG,3,,,,,,,,,,,,,,,,,,,0,0,0,0
Joe Flacco,QB,CLE,1,,,,,,,,,,,,,71,74,68,73,60,,346,69,84.2,13
Jake Funk,RB,IND,5,13,,,,,,,,,,,,,,,,,,13,3,4.7,0
Jalen Guyton,WR,LAC,2,,,,,,,,,33,57,,53,38,22,32,17,3,,255,31,37.9,1
Jaren Hall,QB,MIN,1,,,,,,,,11,11,,,,,,,,24,,46,15,4.1,0
Jacob Harris,WR,JAX,6,,,7,7,,,,,,,,,,,,,,,14,7,10.1,0
