Player,Tm,FantPos,Age,G,GS,Cmp,Att (Pass),Yds (Pass),TD (Pass),Int,Att (Rush),Yds (Rush),Y/A (Rush),TD (Rush),Tgt (Rec),Receptions,Yds (Rec),Y/R,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,PosRank
Kayshon Boutte,NWE,WR,22,15,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,68.0,43.0,589.0,13.7,3.0,0.0,0.0,3,1.0,0.0,121.9,63
Amari Cooper,2TM,WR,30,14,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,85.0,44.0,547.0,12.43,4.0,0.0,0.0,4,0.0,0.0,122.7,64
Ray-Ray McCloud,ATL,WR,28,17,13,0.0,0.0,0.0,0.0,0.0,10.0,79.0,7.9,0.0,87.0,62.0,686.0,11.06,1.0,4.0,2.0,1,0.0,0.0,140.5,65
Michael Wilson,ARI,WR,24,16,13,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,0.0,71.0,47.0,548.0,11.66,4.0,1.0,1.0,4,0.0,0.0,124.5,66
Xavier Legette,CAR,WR,23,16,13,0.0,0.0,0.0,0.0,0.0,6.0,24.0,4.0,0.0,84.0,49.0,497.0,10.14,4.0,0.0,0.0,4,0.0,0.0,125.1,68
Christian Watson,GNB,WR,25,15,15,0.0,0.0,0.0,0.0,0.0,4.0,23.0,5.75,0.0,53.0,29.0,620.0,21.38,2.0,1.0,1.0,2,1.0,0.0,105.3,67
Stefon Diggs,HOU,WR,31,8,8,1.0,1.0,13.0,0.0,0.0,3.0,8.0,2.67,1.0,64.0,47.0,496.0,10.55,3.0,0.0,0.0,4,0.0,0.0,121.9,70
Jalen Nailor,MIN,WR,25,17,7,0.0,0.0,0.0,0.0,0.0,3.0,-4.0,-1.33,0.0,42.0,28.0,414.0,14.79,6.0,1.0,1.0,6,0.0,0.0,103.0,69
KaVontae Turpin,DAL,WR,28,17,2,0.0,0.0,0.0,0.0,0.0,16.0,92.0,5.75,0.0,52.0,31.0,420.0,13.55,2.0,3.0,1.0,4,0.0,0.0,104.2,71
Tyler Lockett,SEA,WR,32,17,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,74.0,49.0,600.0,12.24,2.0,0.0,0.0,2,0.0,0.0,121.0,72
Dontayvion Wicks,GNB,WR,23,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,76.0,39.0,415.0,10.64,5.0,0.0,0.0,5,0.0,0.0,110.5,73
Darius Slayton,NYG,WR,27,16,13,0.0,0.0,0.0,0.0,0.0,2.0,17.0,8.5,0.0,71.0,39.0,573.0,14.69,2.0,1.0,0.0,2,0.0,0.0,110.0,74
Mack Hollins,BUF,WR,31,17,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,50.0,31.0,378.0,12.19,5.0,0.0,0.0,5,0.0,0.0,98.8,76
Josh Palmer,LAC,WR,25,15,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,65.0,39.0,584.0,14.97,1.0,0.0,0.0,1,2.0,0.0,107.4,75
Olamide Zaccheaus,WAS,WR,27,17,6,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,0.0,64.0,45.0,506.0,11.24,3.0,3.0,1.0,3,0.0,0.0,112.4,77
Marquez Valdes-Scantling,2TM,WR,30,14,8,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,44.0,19.0,411.0,21.63,4.0,0.0,0.0,4,0.0,0.0,84.5,78
Devaughn Vele,DEN,WR,27,13,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,55.0,41.0,475.0,11.59,3.0,0.0,0.0,3,0.0,0.0,106.5,79
Parker Washington,JAX,WR,22,17,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,51.0,32.0,390.0,12.19,3.0,2.0,0.0,4,1.0,0.0,97.0,80
Ricky Pearsall,SFO,WR,24,11,4,0.0,1.0,0.0,0.0,0.0,3.0,45.0,15.0,0.0,46.0,31.0,400.0,12.9,3.0,0.0,0.0,3,0.0,0.0,93.5,81
Jalen Coker,CAR,WR,23,11,4,1.0,1.0,19.0,0.0,0.0,0.0,0.0,,0.0,46.0,32.0,478.0,14.94,2.0,0.0,0.0,2,0.0,0.0,92.6,82
Elijah Moore,CLE,WR,24,17,13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,102.0,61.0,538.0,8.82,1.0,0.0,0.0,1,0.0,0.0,120.9,83
Rashid Shaheed,NOR,WR,26,6,5,0.0,0.0,0.0,0.0,0.0,6.0,29.0,4.83,0.0,41.0,20.0,349.0,17.45,3.0,1.0,1.0,4,0.0,0.0,79.8,84
Tim Patrick,DET,WR,31,16,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,44.0,33.0,394.0,11.94,3.0,0.0,0.0,3,1.0,0.0,92.4,85
Tutu Atwell,LAR,WR,25,17,5,0.0,1.0,0.0,0.0,0.0,2.0,7.0,3.5,0.0,62.0,42.0,562.0,13.38,0.0,0.0,0.0,0,0.0,0.0,98.9,86
Diontae Johnson,3TM,WR,28,12,8,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,0.0,67.0,33.0,375.0,11.36,3.0,0.0,0.0,3,0.0,0.0,89.1,87
Greg Dortch,ARI,WR,26,17,4,0.0,0.0,0.0,0.0,0.0,5.0,31.0,6.2,0.0,50.0,37.0,342.0,9.24,3.0,3.0,1.0,3,0.0,0.0,90.3,88
David Moore,CAR,WR,29,17,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,32.0,351.0,10.97,3.0,0.0,0.0,3,0.0,0.0,85.1,89
Noah Brown,WAS,WR,28,11,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,56.0,35.0,453.0,12.94,1.0,0.0,0.0,1,0.0,0.0,86.3,91
Cedric Tillman,CLE,WR,24,11,6,0.0,0.0,0.0,0.0,0.0,1.0,-5.0,-5.0,0.0,49.0,29.0,339.0,11.69,3.0,1.0,1.0,3,1.0,0.0,80.4,90
Sterling Shepard,TAM,WR,31,14,5,0.0,0.0,0.0,0.0,0.0,8.0,69.0,8.63,0.0,51.0,32.0,334.0,10.44,1.0,0.0,0.0,1,1.0,0.0,80.3,92
Chris Olave,NOR,WR,24,8,8,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,0.0,44.0,32.0,400.0,12.5,1.0,1.0,1.0,1,0.0,0.0,76.7,93
Brandin Cooks,DAL,WR,31,10,9,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,-1.0,0.0,54.0,26.0,259.0,9.96,3.0,0.0,0.0,3,0.0,0.0,69.6,95
Christian Kirk,JAX,WR,28,8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,47.0,27.0,379.0,14.04,1.0,0.0,0.0,1,0.0,0.0,70.9,94
Rashee Rice,KAN,WR,24,4,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,29.0,24.0,288.0,12.0,2.0,0.0,0.0,2,0.0,0.0,64.9,96
Justin Watson,KAN,WR,28,17,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,32.0,22.0,289.0,13.14,2.0,0.0,0.0,2,0.0,0.0,62.9,97
Van Jefferson,PIT,WR,28,17,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,40.0,24.0,276.0,11.5,2.0,0.0,0.0,2,0.0,0.0,63.6,98
Kalif Raymond,DET,WR,30,12,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,17.0,215.0,12.65,2.0,0.0,0.0,3,0.0,0.0,56.5,99
Tyler Boyd,TEN,WR,30,16,8,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,57.0,39.0,390.0,10.0,0.0,0.0,0.0,0,0.0,0.0,78.3,100
Troy Franklin,DEN,WR,21,16,6,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,0.0,53.0,28.0,263.0,9.39,2.0,0.0,0.0,2,0.0,0.0,67.1,101
Brandon Aiyuk,SFO,WR,26,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,47.0,25.0,374.0,14.96,0.0,0.0,0.0,0,0.0,0.0,62.4,102
Kendrick Bourne,NWE,WR,29,12,9,0.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,38.0,28.0,305.0,10.89,1.0,0.0,0.0,1,0.0,0.0,65.1,104
Dyami Brown,WAS,WR,25,16,3,0.0,1.0,0.0,0.0,0.0,3.0,26.0,8.67,0.0,40.0,30.0,308.0,10.27,1.0,1.0,1.0,1,0.0,0.0,67.4,103
Mike Williams,2TM,WR,30,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,34.0,21.0,298.0,14.19,1.0,0.0,0.0,1,0.0,0.0,56.8,105
Nelson Agholor,BAL,WR,31,14,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,29.0,14.0,231.0,16.5,2.0,0.0,0.0,2,0.0,0.0,49.1,106
Tyler Johnson,LAR,WR,26,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,41.0,26.0,291.0,11.19,1.0,0.0,0.0,1,0.0,0.0,61.1,107
JuJu Smith-Schuster,KAN,WR,28,14,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,26.0,18.0,231.0,12.83,2.0,0.0,0.0,2,0.0,0.0,53.1,108
Gabriel Davis,JAX,WR,25,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,42.0,20.0,239.0,11.95,2.0,1.0,1.0,2,0.0,0.0,53.9,109
Lil'Jordan Humphrey,DEN,WR,26,17,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,45.0,31.0,293.0,9.45,1.0,2.0,1.0,1,0.0,0.0,64.3,110
